punit
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71
Occupy-Europe-Australia-Asia, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08110385109999751, 0.08110385109999751, 0.08110385109999751, 0.08055403172673405, 0.08055403172673405, 0.08055403172673405, 0.0800170053681586, 0.0800170053681586, 0.0800170053681586, 0.07947635045651248, 0.07947635045651248, 0.07947635045651248, 0.07893214153060658, 0.07893214153060658, 0.07893214153060658, 0.07839255975601483, 0.07839255975601483, 0.07839255975601483, 0.0778495179937342, 0.0778495179937342, 0.0778495179937342, 0.07731113771685233, 0.07731113771685233, 0.07731113771685233, 0.07676939231701937, 0.07676939231701937, 0.07676939231701937, 0.07623234140238974, 0.07623234140238974, 0.07623234140238974, 0.07569202099012742, 0.07569202099012742, 0.07569202099012742, 0.07494045797261137, 0.07494045797261137, 0.07494045797261137, 0.07441275340413701, 0.07441275340413701, 0.07441275340413701, 0.07366892237039571, 0.07366892237039571, 0.07366892237039571, 0.07314590471715618, 0.07314590471715618, 0.07314590471715618, 0.07240986674646431, 0.07240986674646431, 0.07240986674646431, 0.0718915842153011, 0.0718915842153011, 0.0718915842153011, 0.07138535050137179, 0.07138535050137179, 0.07138535050137179, 0.07086859672909847, 0.07086859672909847, 0.07086859672909847, 8.030611952262791E-4, 7.268647231078001E-4, 7.268647231078001E-4, 2.826530521300993E-4, 2.734045750996182E-4, 2.734045750996182E-4, 2.2322934361489316E-4, 2.219574910383894E-4
Occupy-Europe-South-America-North-America, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08617141493392198, 0.08617141493392198, 0.08617141493392198, 0.08733391822146729, 0.08733391822146729, 0.08733391822146729, 0.08675169266332634, 0.08675169266332634, 0.08675169266332634, 0.08616553315240436, 0.08616553315240436, 0.08616553315240436, 0.08557552050112344, 0.08557552050112344, 0.08557552050112344, 0.08672502325963163, 0.08672502325963163, 0.08672502325963163, 0.08788189703321117, 0.08788189703321117, 0.08788189703321117, 0.0872741363010066, 0.0872741363010066, 0.0872741363010066, 0.08666257678627501, 0.08666257678627501, 0.08666257678627501, 0.0878125663824855, 0.0878125663824855, 0.0878125663824855, 0.08896955696903047, 0.08896955696903047, 0.08896955696903047, 0.08988383327617691, 0.08988383327617691, 0.08988383327617691, 0.08925090267053315, 0.08925090267053315, 0.08925090267053315, 0.09016198729343411, 0.09016198729343411, 0.09016198729343411, 0.0895218759752784, 0.0895218759752784, 0.0895218759752784, 0.09042964432006176, 0.09042964432006176, 0.09042964432006176, 0.08978238301360895, 0.08978238301360895, 0.08978238301360895, 0.09096955840238193, 0.09096955840238193, 0.09096955840238193, 0.09031103586048356, 0.09031103586048356, 0.09031103586048356, 0.1353762505789539, 0.1302395635864135, 0.1302395635864135, 0.11257222206390069, 0.11111105029840648, 0.11111105029840648, 0.13238151253943276, 0.1265160243976854
Occupy-Europe-South-America-Africa, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08444798827883283, 0.08444798827883283, 0.08444798827883283, 0.0838754983247913, 0.0838754983247913, 0.0838754983247913, 0.08501666046471702, 0.08501666046471702, 0.08501666046471702, 0.08616553315240434, 0.08616553315240434, 0.08616553315240434, 0.08732195799549923, 0.08732195799549923, 0.08732195799549923, 0.08672502325963162, 0.08672502325963162, 0.08672502325963162, 0.0861242607687611, 0.0861242607687611, 0.0861242607687611, 0.0872741363010066, 0.0872741363010066, 0.0872741363010066, 0.0884311990812079, 0.0884311990812079, 0.0884311990812079, 0.0878125663824855, 0.0878125663824855, 0.0878125663824855, 0.08719016752660948, 0.08719016752660948, 0.08719016752660948, 0.08808615832505143, 0.08808615832505143, 0.08808615832505143, 0.08925090267053314, 0.08925090267053314, 0.08925090267053314, 0.0901619872934341, 0.0901619872934341, 0.0901619872934341, 0.0913488512580993, 0.0913488512580993, 0.0913488512580993, 0.09227514546944185, 0.09227514546944185, 0.09227514546944185, 0.09348436018199341, 0.09348436018199341, 0.09348436018199341, 0.09282607819578058, 0.09282607819578058, 0.09282607819578058, 0.09403481085493857, 0.09403481085493857, 0.09403481085493857, 0.15320899397753965, 0.15328910433028528, 0.15328910433028528, 0.09242154055016592, 0.09122192182452042, 0.09122192182452042, 0.09952780867354162, 0.09511798459501047
Occupy-Asia-Africa, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08110385109999751, 0.08110385109999751, 0.08110385109999751, 0.08055403172673405, 0.08055403172673405, 0.08055403172673405, 0.08165000388857996, 0.08165000388857996, 0.08165000388857996, 0.08275338126078435, 0.08275338126078435, 0.08275338126078435, 0.0838640117233245, 0.0838640117233245, 0.0838640117233245, 0.08329071558068142, 0.08329071558068142, 0.08329071558068142, 0.08271374326199045, 0.08271374326199045, 0.08271374326199045, 0.08381808376614601, 0.08381808376614601, 0.08381808376614601, 0.08492932690350702, 0.08492932690350702, 0.08492932690350702, 0.08433519203652702, 0.08433519203652702, 0.08433519203652702, 0.08373744015207592, 0.08373744015207592, 0.08373744015207592, 0.08290599236700524, 0.08290599236700524, 0.08290599236700524, 0.08400224049102584, 0.08400224049102584, 0.08400224049102584, 0.08316255279607285, 0.08316255279607285, 0.08316255279607285, 0.08425727841255684, 0.08425727841255684, 0.08425727841255684, 0.08340943113445418, 0.08340943113445418, 0.08340943113445418, 0.0845024655672933, 0.0845024655672933, 0.0845024655672933, 0.08390743073189166, 0.08390743073189166, 0.08390743073189166, 0.08500002942660077, 0.08500002942660077, 0.08500002942660077, 0.03168235148505987, 0.0298347694360112, 0.0298347694360112, 0.022117702705324992, 0.022276140387198676, 0.022276140387198676, 0.014517701545983436, 0.015343056647201807
Occupy-Europe-Australia-South-America, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08444798827883283, 0.08444798827883283, 0.08444798827883283, 0.0838754983247913, 0.0838754983247913, 0.0838754983247913, 0.0833163288769868, 0.0833163288769868, 0.0833163288769868, 0.08275338126078431, 0.08275338126078431, 0.08275338126078431, 0.08218673308843706, 0.08218673308843706, 0.08218673308843706, 0.08162490285771208, 0.08162490285771208, 0.08162490285771208, 0.08105946997439005, 0.08105946997439005, 0.08105946997439005, 0.08049889078246464, 0.08049889078246464, 0.08049889078246464, 0.07993480771421675, 0.07993480771421675, 0.07993480771421675, 0.07937561269784373, 0.07937561269784373, 0.07937561269784373, 0.07881301337336426, 0.07881301337336426, 0.07881301337336426, 0.0796229181686322, 0.0796229181686322, 0.0796229181686322, 0.0790622413485332, 0.0790622413485332, 0.0790622413485332, 0.07986931881429998, 0.07986931881429998, 0.07986931881429998, 0.07930228101399028, 0.07930228101399028, 0.07930228101399028, 0.08010642077971072, 0.08010642077971072, 0.08010642077971072, 0.07953304921600514, 0.07953304921600514, 0.07953304921600514, 0.07897300715650396, 0.07897300715650396, 0.07897300715650396, 0.0784013268457782, 0.0784013268457782, 0.0784013268457782, 0.018892317221015188, 0.018538980325847988, 0.018538980325847988, 0.007734127776481594, 0.007481065223105477, 0.007481065223105477, 0.007431359724978219, 0.007102095075347213
Occupy-Europe-South-America-Australia, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08444798827883283, 0.08444798827883283, 0.08444798827883283, 0.0838754983247913, 0.0838754983247913, 0.0838754983247913, 0.0833163288769868, 0.0833163288769868, 0.0833163288769868, 0.08275338126078431, 0.08275338126078431, 0.08275338126078431, 0.08218673308843706, 0.08218673308843706, 0.08218673308843706, 0.08162490285771208, 0.08162490285771208, 0.08162490285771208, 0.08105946997439005, 0.08105946997439005, 0.08105946997439005, 0.08049889078246464, 0.08049889078246464, 0.08049889078246464, 0.07993480771421675, 0.07993480771421675, 0.07993480771421675, 0.07937561269784373, 0.07937561269784373, 0.07937561269784373, 0.07881301337336426, 0.07881301337336426, 0.07881301337336426, 0.0796229181686322, 0.0796229181686322, 0.0796229181686322, 0.0790622413485332, 0.0790622413485332, 0.0790622413485332, 0.07986931881429998, 0.07986931881429998, 0.07986931881429998, 0.07930228101399028, 0.07930228101399028, 0.07930228101399028, 0.08010642077971072, 0.08010642077971072, 0.08010642077971072, 0.07953304921600514, 0.07953304921600514, 0.07953304921600514, 0.07897300715650396, 0.07897300715650396, 0.07897300715650396, 0.0784013268457782, 0.0784013268457782, 0.0784013268457782, 0.018892317221015188, 0.018538980325847988, 0.018538980325847988, 0.007734127776481594, 0.007481065223105477, 0.007481065223105477, 0.007431359724978219, 0.007102095075347213
Occupy-Europe-Australia-North-America, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08275903012397376, 0.08275903012397376, 0.08275903012397376, 0.08387549832479133, 0.08387549832479133, 0.08387549832479133, 0.08331632887698683, 0.08331632887698683, 0.08331632887698683, 0.08275338126078434, 0.08275338126078434, 0.08275338126078434, 0.08218673308843709, 0.08218673308843709, 0.08218673308843709, 0.08329071558068142, 0.08329071558068142, 0.08329071558068142, 0.08440177719607582, 0.08440177719607582, 0.08440177719607582, 0.08381808376614601, 0.08381808376614601, 0.08381808376614601, 0.08323074198533523, 0.08323074198533523, 0.08323074198533523, 0.08433519203652702, 0.08433519203652702, 0.08433519203652702, 0.08544636583909779, 0.08544636583909779, 0.08544636583909779, 0.08459794974839532, 0.08459794974839532, 0.08459794974839532, 0.08400224049102585, 0.08400224049102585, 0.08400224049102585, 0.08316255279607286, 0.08316255279607286, 0.08316255279607286, 0.08257213445138577, 0.08257213445138577, 0.08257213445138577, 0.08174124410267375, 0.08174124410267375, 0.08174124410267375, 0.0811561710898715, 0.0811561710898715, 0.0811561710898715, 0.08222928371766107, 0.08222928371766107, 0.08222928371766107, 0.08163403143895134, 0.08163403143895134, 0.08163403143895134, 0.020941602102283966, 0.02054993809515958, 0.02054993809515958, 0.014920836952375238, 0.014432623516186764, 0.014432623516186764, 0.01719552219022082, 0.01643363233443109
Occupy-Europe-Australia-Africa, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08110385109999751, 0.08110385109999751, 0.08110385109999751, 0.08055403172673405, 0.08055403172673405, 0.08055403172673405, 0.08165000388857996, 0.08165000388857996, 0.08165000388857996, 0.08275338126078435, 0.08275338126078435, 0.08275338126078435, 0.0838640117233245, 0.0838640117233245, 0.0838640117233245, 0.08329071558068142, 0.08329071558068142, 0.08329071558068142, 0.08271374326199045, 0.08271374326199045, 0.08271374326199045, 0.08381808376614601, 0.08381808376614601, 0.08381808376614601, 0.08492932690350702, 0.08492932690350702, 0.08492932690350702, 0.08433519203652702, 0.08433519203652702, 0.08433519203652702, 0.08373744015207592, 0.08373744015207592, 0.08373744015207592, 0.08290599236700524, 0.08290599236700524, 0.08290599236700524, 0.08400224049102584, 0.08400224049102584, 0.08400224049102584, 0.08316255279607285, 0.08316255279607285, 0.08316255279607285, 0.08425727841255684, 0.08425727841255684, 0.08425727841255684, 0.08340943113445418, 0.08340943113445418, 0.08340943113445418, 0.0845024655672933, 0.0845024655672933, 0.0845024655672933, 0.08390743073189166, 0.08390743073189166, 0.08390743073189166, 0.08500002942660077, 0.08500002942660077, 0.08500002942660077, 0.02556821347917112, 0.026093213824309975, 0.026093213824309975, 0.012846711029627164, 0.012426363501166555, 0.012426363501166555, 0.013557801724799248, 0.012957090011210958
Occupy-North-America-Australia, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08275903012397376, 0.08275903012397376, 0.08275903012397376, 0.08387549832479133, 0.08387549832479133, 0.08387549832479133, 0.08331632887698683, 0.08331632887698683, 0.08331632887698683, 0.08275338126078434, 0.08275338126078434, 0.08275338126078434, 0.08218673308843709, 0.08218673308843709, 0.08218673308843709, 0.08329071558068142, 0.08329071558068142, 0.08329071558068142, 0.08440177719607582, 0.08440177719607582, 0.08440177719607582, 0.08381808376614601, 0.08381808376614601, 0.08381808376614601, 0.08323074198533523, 0.08323074198533523, 0.08323074198533523, 0.08433519203652702, 0.08433519203652702, 0.08433519203652702, 0.08544636583909779, 0.08544636583909779, 0.08544636583909779, 0.08459794974839532, 0.08459794974839532, 0.08459794974839532, 0.08400224049102585, 0.08400224049102585, 0.08400224049102585, 0.08316255279607286, 0.08316255279607286, 0.08316255279607286, 0.08257213445138577, 0.08257213445138577, 0.08257213445138577, 0.08174124410267375, 0.08174124410267375, 0.08174124410267375, 0.0811561710898715, 0.0811561710898715, 0.0811561710898715, 0.08222928371766107, 0.08222928371766107, 0.08222928371766107, 0.08163403143895134, 0.08163403143895134, 0.08163403143895134, 0.06717026967046422, 0.0672591883379457, 0.0672591883379457, 0.061672101835316004, 0.06087160654199849, 0.06087160654199849, 0.05471099825130204, 0.0555761344069611
Occupy-Asia-South-America, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08444798827883283, 0.08444798827883283, 0.08444798827883283, 0.0838754983247913, 0.0838754983247913, 0.0838754983247913, 0.0833163288769868, 0.0833163288769868, 0.0833163288769868, 0.08275338126078431, 0.08275338126078431, 0.08275338126078431, 0.08218673308843706, 0.08218673308843706, 0.08218673308843706, 0.08162490285771208, 0.08162490285771208, 0.08162490285771208, 0.08105946997439005, 0.08105946997439005, 0.08105946997439005, 0.08049889078246464, 0.08049889078246464, 0.08049889078246464, 0.07993480771421675, 0.07993480771421675, 0.07993480771421675, 0.07937561269784373, 0.07937561269784373, 0.07937561269784373, 0.07881301337336426, 0.07881301337336426, 0.07881301337336426, 0.0796229181686322, 0.0796229181686322, 0.0796229181686322, 0.0790622413485332, 0.0790622413485332, 0.0790622413485332, 0.07986931881429998, 0.07986931881429998, 0.07986931881429998, 0.07930228101399028, 0.07930228101399028, 0.07930228101399028, 0.08010642077971072, 0.08010642077971072, 0.08010642077971072, 0.07953304921600514, 0.07953304921600514, 0.07953304921600514, 0.07897300715650396, 0.07897300715650396, 0.07897300715650396, 0.0784013268457782, 0.0784013268457782, 0.0784013268457782, 0.02341004525212752, 0.021197320012957408, 0.021197320012957408, 0.013337048403663714, 0.013432586853577178, 0.013432586853577178, 0.008027601104055352, 0.008483983369580804
