s0914007
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101, Turn 102, Turn 103, Turn 104, Turn 105, Turn 106, Turn 107, Turn 108, Turn 109, Turn 110, Turn 111, Turn 112, Turn 113, Turn 114, Turn 115, Turn 116
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.08853541233523861, 0.08204070347324781, 0.08204070347324781, 0.082282291681178, 0.082282291681178, 0.082282291681178, 0.082282291681178, 0.07909726847453771, 0.07909726847453771, 0.0789833012988335, 0.0789833012988335, 0.0789833012988335, 0.0789833012988335, 0.07440444387395753, 0.07440444387395753, 0.0731645374627917, 0.07308113909850047, 0.07308113909850047, 0.07308113909850047, 0.07853657008516143, 0.07723953285914664, 0.07595945534657636, 0.07595945534657636, 0.07595945534657636, 0.10210875229486895, 0.10210875229486895, 0.10040604928994075, 0.09701459926883271, 0.09701459926883271, 0.06443900745963518, 0.06463667069931643, 0.06463667069931643, 0.06463667069931643, 0.05033053700870262, 0.050308820540653436, 0.050308820540653436, 0.050308820540653436
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.09218597343706277, 0.13691715651039704, 0.13691715651039704, 0.13732034138175825, 0.13732034138175825, 0.13732034138175825, 0.13732034138175825, 0.1415690082128934, 0.1415690082128934, 0.1413650287285897, 0.1413650287285897, 0.1413650287285897, 0.1413650287285897, 0.14573293198976978, 0.14573293198976978, 0.1462289544660017, 0.14606227186214213, 0.14606227186214213, 0.14606227186214213, 0.1444812476228458, 0.14499502697546945, 0.14550208828606662, 0.14550208828606662, 0.14550208828606662, 0.09514371730123726, 0.09514371730123726, 0.0955046886724426, 0.09608370472750045, 0.09608370472750045, 0.10913032085802207, 0.10946507233261242, 0.10946507233261242, 0.10946507233261242, 0.11903981266382302, 0.1189884497250996, 0.1189884497250996, 0.1189884497250996
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.0708930954858976, 0.012037138533267147, 0.012037138533267147, 0.012072584727701691, 0.012072584727701691, 0.012072584727701691, 0.012072584727701691, 0.008832445333583261, 0.008832445333583261, 0.008999713211089593, 0.008999713211089593, 0.008999713211089593, 0.008999713211089593, 0.006323302176236415, 0.006323302176236415, 0.006217928054747973, 0.006337592120885574, 0.006337592120885574, 0.006337592120885574, 0.0057856030502168405, 0.005690053390702313, 0.00559575311309648, 0.00559575311309648, 0.00559575311309648, 0.0027182319601229965, 0.0027182319601229965, 0.0026739739766027883, 0.002636381814306648, 0.002636381814306648, 0.0018908621976975772, 0.0018587291070913403, 0.0018587291070913403, 0.0018587291070913403, 0.0011009756965732476, 0.0011229598260073619, 0.0011229598260073619, 0.0011229598260073619
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.09218597343706277, 0.10225916455274628, 0.10225916455274628, 0.1005090869300262, 0.1005090869300262, 0.1005090869300262, 0.1005090869300262, 0.10183228874301414, 0.10183228874301414, 0.1016855638488761, 0.1016855638488761, 0.1016855638488761, 0.1016855638488761, 0.10302007933773026, 0.10302007933773026, 0.10337072262855691, 0.10325289301489733, 0.10325289301489733, 0.10325289301489733, 0.09908993391750391, 0.09944230049058717, 0.09979005961217473, 0.09979005961217473, 0.09979005961217473, 0.055395348211765595, 0.055395348211765595, 0.05560551589671202, 0.055942635329291876, 0.055942635329291876, 0.0706403802509317, 0.0694399259069683, 0.0694399259069683, 0.0694399259069683, 0.0721537112230935, 0.07212257855776676, 0.07212257855776676, 0.07212257855776676
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.08853541233523861, 0.1381801924854514, 0.1381801924854514, 0.13858709666423985, 0.13858709666423985, 0.13858709666423985, 0.13858709666423985, 0.1453383179995451, 0.1453383179995451, 0.14512890751112428, 0.14512890751112428, 0.14512890751112428, 0.14512890751112428, 0.1521926436070708, 0.1521926436070708, 0.15271065261790687, 0.15253658169393425, 0.15253658169393425, 0.15253658169393425, 0.15544203432719583, 0.1559947905435292, 0.1565403190667434, 0.1565403190667434, 0.1565403190667434, 0.2019073692298029, 0.2019073692298029, 0.20259232832444554, 0.20382058436466707, 0.20382058436466707, 0.23622053588649183, 0.23694512985904506, 0.23694512985904506, 0.23694512985904506, 0.2576703533737372, 0.2575591745481408, 0.2575591745481408, 0.2575591745481408
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.08853541233523861, 0.1381801924854514, 0.1381801924854514, 0.13858709666423985, 0.13858709666423985, 0.13858709666423985, 0.13858709666423985, 0.1453383179995451, 0.1453383179995451, 0.14512890751112428, 0.14512890751112428, 0.14512890751112428, 0.14512890751112428, 0.1521926436070708, 0.1521926436070708, 0.15271065261790687, 0.15253658169393425, 0.15253658169393425, 0.15253658169393425, 0.15544203432719583, 0.1559947905435292, 0.1565403190667434, 0.1565403190667434, 0.1565403190667434, 0.2019073692298029, 0.2019073692298029, 0.20259232832444554, 0.20382058436466707, 0.20382058436466707, 0.23622053588649183, 0.23694512985904506, 0.23694512985904506, 0.23694512985904506, 0.2576703533737372, 0.2575591745481408, 0.2575591745481408, 0.2575591745481408
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.08853541233523861, 0.09820970545931758, 0.09820970545931758, 0.09652893084503225, 0.09652893084503225, 0.09652893084503225, 0.09652893084503225, 0.09779973391569248, 0.09779973391569248, 0.09765881932187713, 0.09765881932187713, 0.09765881932187713, 0.09765881932187713, 0.09894048804726226, 0.09894048804726226, 0.09927724587688064, 0.09916408231151702, 0.09916408231151702, 0.09916408231151702, 0.0951659762387522, 0.09550438910871423, 0.09583837698208755, 0.09583837698208755, 0.09583837698208755, 0.09086868014280364, 0.09086868014280364, 0.09117694689462855, 0.09172972515962256, 0.09172972515962256, 0.07598816064623425, 0.07469682674891485, 0.07469682674891485, 0.07469682674891485, 0.06113931984988886, 0.061112939640875004, 0.061112939640875004, 0.061112939640875004
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08444804649472752, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08499954961420055, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08554705641779949, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08609049967982416, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.08662981481465547, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.0871649398859348, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08769581561252408, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08822238537130661, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08874459519689296, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08926239377830154, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.08977573245268855, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.0902845651962056, 0.08853541233523861, 0.1314952422311009, 0.1314952422311009, 0.13188246099662887, 0.13188246099662887, 0.13188246099662887, 0.13188246099662887, 0.13596288078008337, 0.13596288078008337, 0.13576697887573252, 0.13576697887573252, 0.13576697887573252, 0.13576697887573252, 0.1399619133310597, 0.1399619133310597, 0.14043829333577615, 0.14027821135679813, 0.14027821135679813, 0.14027821135679813, 0.1387597956182729, 0.13925322932773979, 0.1397402110293933, 0.1397402110293933, 0.1397402110293933, 0.15476316329115333, 0.15476316329115333, 0.15528818838863398, 0.156229653729108, 0.156229653729108, 0.1182309695471179, 0.1185936367791664, 0.1185936367791664, 0.1185936367791664, 0.1019446378164161, 0.10190065105208765, 0.10190065105208765, 0.10190065105208765
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.06808573155492592, 0.033205017937366334, 0.033205017937366334, 0.03398244622332485, 0.03398244622332485, 0.03398244622332485, 0.03398244622332485, 0.028425506256508627, 0.028425506256508627, 0.0289638253650901, 0.0289638253650901, 0.0289638253650901, 0.0289638253650901, 0.02374203691592273, 0.02374203691592273, 0.02382284626890173, 0.024281317101373157, 0.024281317101373157, 0.024281317101373157, 0.021824047383850402, 0.021901654306001102, 0.021978246460699798, 0.021978246460699798, 0.021978246460699798, 0.021214415250989205, 0.021214415250989205, 0.021286383930087548, 0.02185248614682643, 0.02185248614682643, 0.01657971363617366, 0.01663057102891619, 0.01663057102891619, 0.01663057102891619, 0.011561886758725227, 0.01179275290390673, 0.01179275290390673, 0.01179275290390673
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08110390701054492, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.08000090077159894, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07890588716440104, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07781900064035169, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07674037037068901, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07567012022813038, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07460836877495187, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.07355522925738679, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.0725108096062141, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07147521244339693, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.07044853509462287, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.06943086960758882, 0.0708930954858976, 0.019385931979212064, 0.019385931979212064, 0.019839814338159605, 0.019839814338159605, 0.019839814338159605, 0.019839814338159605, 0.01520623458024333, 0.01520623458024333, 0.015494208576915528, 0.015494208576915528, 0.015494208576915528, 0.015494208576915528, 0.011404809884282337, 0.011404809884282337, 0.011214755417675422, 0.011430583459139006, 0.011430583459139006, 0.011430583459139006, 0.01107451510080159, 0.010891618670129522, 0.010711113744490623, 0.010711113744490623, 0.010711113744490623, 0.007236973357194977, 0.007236973357194977, 0.007119141673851653, 0.007019056956665041, 0.007019056956665041, 0.007088250016085065, 0.007109992847284439, 0.007109992847284439, 0.007109992847284439, 0.0056454126505035744, 0.005758139464368715, 0.005758139464368715, 0.005758139464368715
