s0914007
WINNER
Conquer the continents of NORTH AMERICA and AUSTRALIA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101, Turn 102, Turn 103, Turn 104, Turn 105, Turn 106, Turn 107, Turn 108, Turn 109, Turn 110, Turn 111, Turn 112, Turn 113
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09310298254179414, 0.09310298254179414, 0.09244669439974426, 0.09244669439974426, 0.09305583350603071, 0.09305583350603071, 0.11957933785810573, 0.11957933785810573, 0.11957933785810573, 0.11957933785810573, 0.11957933785810573, 0.11956696025813797, 0.10154809437141156, 0.10154809437141156, 0.10154809437141156, 0.1023242226600005, 0.1023242226600005, 0.1023242226600005, 0.08475130350346705, 0.08475130350346705, 0.08630289846586787, 0.08630289846586787, 0.08565739632895991, 0.06378852722525757, 0.06378852722525757, 0.06372268341157089, 0.06372268341157089, 0.06372268341157089, 0.030708739385185643, 0.03094888124811276, 0.03094888124811276, 0.031632056173220104, 0.031632056173220104, 0.027435697397225626, 0.027435697397225626, 0.02774773863606736, 0.02774773863606736
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.08082508737749855, 0.08082508737749855, 0.080255346806597, 0.080255346806597, 0.0807841560901079, 0.0807841560901079, 0.028176641595985777, 0.028176641595985777, 0.028176641595985777, 0.028176641595985777, 0.028176641595985777, 0.028184999023420355, 0.023458740862943465, 0.023458740862943465, 0.023458740862943465, 0.023165274890294983, 0.023165274890294983, 0.023165274890294983, 0.018803187412906798, 0.018803187412906798, 0.01838919161399231, 0.01838919161399231, 0.01825164973887746, 0.021180343585873465, 0.021180343585873465, 0.02073531159240575, 0.02073531159240575, 0.02073531159240575, 0.03580700803062451, 0.03535113251317579, 0.03535113251317579, 0.03470067864049696, 0.03470067864049696, 0.03720336474227274, 0.03720336474227274, 0.036873969758023664, 0.036873969758023664
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09310298254179414, 0.09310298254179414, 0.09433335979640634, 0.09433335979640634, 0.09305583350603071, 0.09305583350603071, 0.05504066738656193, 0.05504066738656193, 0.05504066738656193, 0.05504066738656193, 0.05504066738656193, 0.055056992908610644, 0.04319348321796985, 0.04319348321796985, 0.04319348321796985, 0.04352360939528191, 0.04352360939528191, 0.04352360939528191, 0.033088954994169036, 0.033088954994169036, 0.03369473512683637, 0.03369473512683637, 0.03412521924253056, 0.028137807352497685, 0.028137807352497685, 0.028108762936119684, 0.028108762936119684, 0.028108762936119684, 0.011689771159067523, 0.01178118498716769, 0.01178118498716769, 0.012041246412547158, 0.012041246412547158, 0.010776004044502855, 0.010776004044502855, 0.010898565450656513, 0.010898565450656513
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07607193008070728, 0.07607193008070728, 0.0755356947819895, 0.0755356947819895, 0.07451273921087397, 0.07451273921087397, 0.0395972925069301, 0.0395972925069301, 0.0395972925069301, 0.0395972925069301, 0.0395972925069301, 0.0396090373948936, 0.029737838094103897, 0.029737838094103897, 0.029737838094103897, 0.029965123278815446, 0.029965123278815446, 0.029965123278815446, 0.020890547751797245, 0.020890547751797245, 0.02127300403640361, 0.02127300403640361, 0.02111389269937962, 0.027723829432537643, 0.027723829432537643, 0.027695212332578725, 0.027695212332578725, 0.027695212332578725, 0.02169085389045979, 0.021414697635439513, 0.021414697635439513, 0.02188741212020558, 0.02188741212020558, 0.0209688434323831, 0.0209688434323831, 0.021207333593102718, 0.021207333593102718
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07607193008070728, 0.07607193008070728, 0.0755356947819895, 0.0755356947819895, 0.07603340587821615, 0.07603340587821615, 0.12737536281871986, 0.12737536281871986, 0.12737536281871986, 0.12737536281871986, 0.12737536281871986, 0.12736217825594373, 0.12763890654553425, 0.12763890654553425, 0.12763890654553425, 0.12861444593608376, 0.12861444593608376, 0.12861444593608376, 0.12033357551989814, 0.12033357551989814, 0.12253659732447386, 0.12253659732447386, 0.12162008540160187, 0.15178079584077653, 0.15178079584077653, 0.15162412461983318, 0.15162412461983318, 0.15162412461983318, 0.14496508806674374, 0.1431194707373677, 0.1431194707373677, 0.14627873303568958, 0.14627873303568958, 0.14013972203141983, 0.14013972203141983, 0.14173360797645299, 0.14173360797645299
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07607193008070728, 0.07607193008070728, 0.0755356947819895, 0.0755356947819895, 0.07603340587821615, 0.07603340587821615, 0.12737536281871986, 0.12737536281871986, 0.12737536281871986, 0.12737536281871986, 0.12737536281871986, 0.12736217825594373, 0.12763890654553425, 0.12763890654553425, 0.12763890654553425, 0.12861444593608376, 0.12861444593608376, 0.12861444593608376, 0.12033357551989814, 0.12033357551989814, 0.12253659732447386, 0.12253659732447386, 0.12162008540160187, 0.15178079584077653, 0.15178079584077653, 0.15162412461983318, 0.15162412461983318, 0.15162412461983318, 0.14496508806674374, 0.1431194707373677, 0.1431194707373677, 0.14627873303568958, 0.14627873303568958, 0.14013972203141983, 0.14013972203141983, 0.14173360797645299, 0.14173360797645299
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.08082508737749855, 0.08082508737749855, 0.080255346806597, 0.080255346806597, 0.0807841560901079, 0.0807841560901079, 0.09835443334491391, 0.09835443334491391, 0.09835443334491391, 0.09835443334491391, 0.09835443334491391, 0.09834425272464284, 0.11296615029212304, 0.11296615029212304, 0.11296615029212304, 0.11155295759923642, 0.11155295759923642, 0.11155295759923642, 0.12647415028508008, 0.12647415028508008, 0.12368952841541972, 0.12368952841541972, 0.12276439314969202, 0.10602707392718617, 0.10602707392718617, 0.10591763062750388, 0.10591763062750388, 0.10591763062750388, 0.13603937418033873, 0.13710319996417622, 0.13710319996417622, 0.13458052809955862, 0.13458052809955862, 0.13820190881949473, 0.13820190881949473, 0.13697828251864397, 0.13697828251864397
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.0793832995057706, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07886182465097212, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07829284611175748, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07772065719041708, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07714534838078456, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07656701244625573, 0.07607193008070728, 0.07607193008070728, 0.0755356947819895, 0.0755356947819895, 0.07451273921087397, 0.07451273921087397, 0.12482785799183772, 0.12482785799183772, 0.12482785799183772, 0.12482785799183772, 0.12482785799183772, 0.12481493712006564, 0.12508613084914247, 0.12508613084914247, 0.12508613084914247, 0.1260421594704879, 0.1260421594704879, 0.1260421594704879, 0.12060706326615099, 0.12060706326615099, 0.12281509198143868, 0.12281509198143868, 0.12189649705904543, 0.11986195896866003, 0.11986195896866003, 0.12218187009096275, 0.12218187009096275, 0.12218187009096275, 0.07100923302557248, 0.0715645241200683, 0.0715645241200683, 0.07314426097756947, 0.07314426097756947, 0.06750415724475396, 0.06750415724475396, 0.06827191906063368, 0.06827191906063368
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.08100336526607552, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.0821135168484357, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08152107774278507, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08092529588203157, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.08032626549132107, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.07972408315894204, 0.08082508737749855, 0.08082508737749855, 0.08189320943327347, 0.08189320943327347, 0.08243281073247634, 0.08243281073247634, 0.14379008127839163, 0.14379008127839163, 0.14379008127839163, 0.14379008127839163, 0.14379008127839163, 0.1437751976359725, 0.19715137991953355, 0.19715137991953355, 0.19715137991953355, 0.1946850403233419, 0.1946850403233419, 0.1946850403233419, 0.26308741589541573, 0.26308741589541573, 0.25729493600696834, 0.25729493600696834, 0.2605821374816978, 0.237153805118744, 0.237153805118744, 0.2369090101432434, 0.2369090101432434, 0.2369090101432434, 0.3218337733404749, 0.3243505084272994, 0.3243505084272994, 0.31838252298204534, 0.31838252298204534, 0.336473188878651, 0.336473188878651, 0.3334940878882241, 0.3334940878882241
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08961333522815385, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.08902465850059213, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09018607614545743, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09135404692755135, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09252838612789438, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09370890439480227, 0.09310298254179414, 0.09310298254179414, 0.09433335979640634, 0.09433335979640634, 0.09495493030092769, 0.09495493030092769, 0.05616394521971396, 0.05616394521971396, 0.05616394521971396, 0.05616394521971396, 0.05616394521971396, 0.05618060391535781, 0.044074982017659456, 0.044074982017659456, 0.044074982017659456, 0.04441184545733997, 0.04441184545733997, 0.04441184545733997, 0.03303023393428409, 0.03303023393428409, 0.03363493902389087, 0.03363493902389087, 0.03406465918425491, 0.03619966237831144, 0.03619966237831144, 0.035439051114109714, 0.035439051114109714, 0.035439051114109714, 0.02461329285672148, 0.024299929684697213, 0.024299929684697213, 0.024836333650623092, 0.024836333650623092, 0.02306596140927834, 0.02306596140927834, 0.023328303243313683, 0.023328303243313683
