s0914007
LOSER
Conquer the continents of ASIA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101, Turn 102, Turn 103, Turn 104
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07566511875654218, 0.07566511875654218, 0.0766726263590629, 0.0766726263590629, 0.0766726263590629, 0.020057398276752143, 0.020063507337415094, 0.020069617674740754, 0.01910077555119587, 0.01910077555119587, 0.019017518755585404, 0.01460562366338182, 0.01460562366338182, 0.014610309148043576, 0.014610309148043576, 0.014610309148043576, 0.01460754614450205, 0.016955962650340866, 0.016955962650340866, 0.017493301075078307, 0.017493301075078307, 0.017493301075078307, 0.017349099793824627, 0.01802495384809958, 0.017938181101305073, 0.017658313883445177, 0.017658313883445177, 0.017658313883445177
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.09075299381838273, 0.09075299381838273, 0.09015823871607778, 0.09015823871607778, 0.09015823871607778, 0.11526733837432192, 0.1152563254849313, 0.11524531029408293, 0.11653514239614808, 0.11653514239614808, 0.11602718697277235, 0.12141455400989634, 0.12141455400989634, 0.12140492249487196, 0.12140492249487196, 0.12140492249487196, 0.12143053533278846, 0.09718285562737525, 0.09718285562737525, 0.09629220773351467, 0.09629220773351467, 0.09629220773351467, 0.09744739508747212, 0.08766647218613212, 0.08724444277859625, 0.08942448195908854, 0.08942448195908854, 0.08942448195908854
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.09075299381838273, 0.09075299381838273, 0.09015823871607778, 0.09015823871607778, 0.09015823871607778, 0.11921623193703312, 0.11920484176185944, 0.11919344920638336, 0.12052746910489336, 0.12052746910489336, 0.12000211185781108, 0.12924372119643507, 0.12924372119643507, 0.1292334686130223, 0.1292334686130223, 0.1292334686130223, 0.12926073304198404, 0.10699352280251959, 0.10699352280251959, 0.10601296347314397, 0.10601296347314397, 0.10601296347314397, 0.10728476767872046, 0.09651645478321606, 0.09605182125555294, 0.09845193669013876, 0.09845193669013876, 0.09845193669013876
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08083075584924213, 0.08083075584924213, 0.08083075584924213, 0.08083075584924213, 0.08083075584924213, 0.08083075584924213, 0.08001156241529211, 0.08001156241529211, 0.08001156241529211, 0.08001156241529211, 0.08001156241529211, 0.08001156241529211, 0.0791925918452051, 0.0791925918452051, 0.0791925918452051, 0.0791925918452051, 0.0791925918452051, 0.0791925918452051, 0.07837401108230298, 0.07837401108230298, 0.07837401108230298, 0.07837401108230298, 0.07837401108230298, 0.07837401108230298, 0.07755598675204432, 0.07755598675204432, 0.07755598675204432, 0.07755598675204432, 0.07755598675204432, 0.07755598675204432, 0.07673868502654527, 0.07673868502654527, 0.07673868502654527, 0.07673868502654527, 0.07673868502654527, 0.07673868502654527, 0.07520391278968862, 0.07592227148988426, 0.07592227148988426, 0.07592227148988426, 0.07592227148988426, 0.07592227148988426, 0.0751069110044228, 0.0751069110044228, 0.0751069110044228, 0.0751069110044228, 0.0751069110044228, 0.0751069110044228, 0.0751069110044228, 0.07429276757836972, 0.07429276757836972, 0.07429276757836972, 0.07429276757836972, 0.07429276757836972, 0.07348000423481477, 0.07348000423481477, 0.07348000423481477, 0.07348000423481477, 0.07348000423481477, 0.07348000423481477, 0.07348000423481477, 0.0726687828824505, 0.0726687828824505, 0.0736363932215761, 0.0736363932215761, 0.0736363932215761, 0.020468686165338115, 0.020474920495621114, 0.02048115612874549, 0.01949244736916597, 0.01949244736916597, 0.019803554050857486, 0.018386491496610424, 0.018386491496610424, 0.01839238988382595, 0.01839238988382595, 0.01839238988382595, 0.018396270132594372, 0.018408149171035972, 0.018408149171035972, 0.018991507726481803, 0.018991507726481803, 0.018991507726481803, 0.019219342876122692, 0.018793774146519386, 0.019084999906520222, 0.019561890425054348, 0.019561890425054348, 0.019561890425054348
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.0910614236576916, 0.0910614236576916, 0.0910614236576916, 0.0910614236576916, 0.0910614236576916, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.0927811201640284, 0.0927811201640284, 0.0927811201640284, 0.0927811201640284, 0.0927811201640284, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09449499196769964, 0.09449499196769964, 0.09387571345962611, 0.09387571345962611, 0.09387571345962611, 0.18952346435690234, 0.18950535687754758, 0.1894872456141179, 0.19160799770113401, 0.19160799770113401, 0.19077281339884347, 0.19387218490442049, 0.19387218490442049, 0.19385680550549303, 0.19385680550549303, 0.19385680550549303, 0.19382014460840086, 0.21228658621092944, 0.21228658621092944, 0.21034105168549247, 0.21034105168549247, 0.21034105168549247, 0.20860716229416967, 0.21673369324175754, 0.21569032979994276, 0.2123251807817961, 0.2123251807817961, 0.2123251807817961
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08588125603455836, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08761009196716485, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08847398095090404, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.08933728270360543, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.09019982185557192, 0.0910614236576916, 0.0910614236576916, 0.0910614236576916, 0.0910614236576916, 0.0910614236576916, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.09192191412251656, 0.0927811201640284, 0.0927811201640284, 0.0927811201640284, 0.0927811201640284, 0.0927811201640284, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09363886973585425, 0.09449499196769964, 0.09449499196769964, 0.09387571345962611, 0.09387571345962611, 0.09387571345962611, 0.18952346435690234, 0.18950535687754758, 0.1894872456141179, 0.19160799770113401, 0.19160799770113401, 0.19077281339884347, 0.19387218490442049, 0.19387218490442049, 0.19385680550549303, 0.19385680550549303, 0.19385680550549303, 0.19382014460840086, 0.21228658621092944, 0.21228658621092944, 0.21034105168549247, 0.21034105168549247, 0.21034105168549247, 0.20860716229416967, 0.21673369324175754, 0.21569032979994276, 0.2123251807817961, 0.2123251807817961, 0.2123251807817961
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07566511875654218, 0.07566511875654218, 0.07516924293412003, 0.07516924293412003, 0.07516924293412003, 0.043811451075788814, 0.043824795120148946, 0.043838141953128275, 0.0443287809443527, 0.0443287809443527, 0.04413555987618963, 0.032773722120953606, 0.032773722120953606, 0.032784235932335135, 0.032784235932335135, 0.032784235932335135, 0.03277803599781839, 0.03696736821248323, 0.03696736821248323, 0.038138872762924395, 0.038138872762924395, 0.038138872762924395, 0.037824485312872455, 0.03929798146272269, 0.03910879963048407, 0.03849863347792875, 0.03849863347792875, 0.03849863347792875
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07830477911530621, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07566511875654218, 0.07566511875654218, 0.07516924293412003, 0.07516924293412003, 0.07516924293412003, 0.044946565944570645, 0.0449602557209892, 0.04497394835827755, 0.04547729935972915, 0.04547729935972915, 0.04527907210934549, 0.03477473037127922, 0.03477473037127922, 0.03478588610618836, 0.03478588610618836, 0.03478588610618836, 0.034779307633034044, 0.040370684808851094, 0.040370684808851094, 0.04165004125873827, 0.04165004125873827, 0.04165004125873827, 0.041306710443816494, 0.04291586066221295, 0.04270926223527145, 0.04204292252495575, 0.04204292252495575, 0.04204292252495575
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08416363255192215, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08245792249333124, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08160558937063396, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.08075383562384442, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07990283427681694, 0.07830477911530621, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07905275774112168, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.07820377767685349, 0.0766397036149351, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07735606485473547, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07650978901975239, 0.07566511875654218, 0.07566511875654218, 0.07516924293412003, 0.07516924293412003, 0.07516924293412003, 0.06596377781859172, 0.06598386899466006, 0.06600396436935349, 0.06674268451241103, 0.06674268451241103, 0.06780792248446195, 0.05740315378500183, 0.05740315378500183, 0.05742156871905702, 0.05742156871905702, 0.05742156871905702, 0.05741070953763086, 0.07246343158239016, 0.07246343158239016, 0.07475981468846925, 0.07475981468846925, 0.07475981468846925, 0.07414355243938905, 0.08319445140526693, 0.08448362127340854, 0.0831655279892016, 0.0831655279892016, 0.0831655279892016
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.08248036150617763, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.083310661496047, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08414073560048377, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08497041461276256, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08579952964833067, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08662791228212448, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08745539468509037, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08828180975967687, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08910699127406542, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.08993077399491312, 0.09075299381838273, 0.09075299381838273, 0.0919614017707674, 0.0919614017707674, 0.0919614017707674, 0.08852231800885493, 0.08851386039622518, 0.08850540101613572, 0.08423288511397255, 0.08423288511397255, 0.08557727316749954, 0.10297328030347908, 0.10297328030347908, 0.10296511168889708, 0.10296511168889708, 0.10296511168889708, 0.10298683427363702, 0.09695257855180213, 0.09695257855180213, 0.09606404106919712, 0.09606404106919712, 0.09606404106919712, 0.09721649117938981, 0.09506385261550306, 0.09653694910536828, 0.09894918677589788, 0.09894918677589788, 0.09894918677589788
