s0914007
WINNER
Conquer the continents of EUROPE and AUSTRALIA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08852962613868474, 0.11917267284385867, 0.11917267284385867, 0.11917267284385867, 0.11917267284385867, 0.11725526106177829, 0.11796303835123627, 0.09395281946523637, 0.09427411551872622, 0.09490349299367806, 0.09490349299367806, 0.09490349299367806, 0.09490349299367806, 0.08967777160295266, 0.08967777160295266, 0.08866446631966342, 0.08866446631966342, 0.08723108375468792, 0.08723108375468792, 0.10056121031698896, 0.10021091318215951, 0.10141457813903519, 0.10345726084225018
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07380147016726876, 0.07380147016726876, 0.07380147016726876, 0.07380147016726876, 0.07380147016726876, 0.07381139060449397, 0.024191472275288867, 0.024191472275288867, 0.024191472275288867, 0.024191472275288867, 0.024288006690935983, 0.02394592236360862, 0.009498823868045563, 0.009340681592429397, 0.009214979700312532, 0.009214979700312532, 0.009214979700312532, 0.009214979700312532, 0.007864131366153692, 0.007864131366153692, 0.007775271376444249, 0.007775271376444249, 0.007805687055039589, 0.007805687055039589, 0.006961238615307248, 0.006936989683396826, 0.007020312059403269, 0.0068836166659165966
Occupy-Asia-Africa, 0.08333333333333333, 0.08166666825612386, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.08001302258932418, 0.08001302258932418, 0.08001302258932418, 0.08001302258932418, 0.08001302258932418, 0.07999176853695447, 0.029073737376405215, 0.029073737376405215, 0.029073737376405215, 0.029073737376405215, 0.028605959611047296, 0.028778631168574972, 0.05856542158684245, 0.0587657012477821, 0.059158023238411184, 0.059158023238411184, 0.059158023238411184, 0.059158023238411184, 0.07393559111727954, 0.07393559111727954, 0.07456216494295292, 0.07456216494295292, 0.07335676539934395, 0.07335676539934395, 0.06678596598118922, 0.06791155202148183, 0.06735271526904053, 0.06736208674807373
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08166666825612386, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07682568739161028, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07788078086559351, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.07894327292781209, 0.08001302258932418, 0.08001302258932418, 0.08001302258932418, 0.08001302258932418, 0.08001302258932418, 0.07999176853695447, 0.03692549375043544, 0.03692549375043544, 0.03692549375043544, 0.03692549375043544, 0.03707284240789275, 0.03729662184153485, 0.06780548889289348, 0.06803736736242996, 0.06712175689787464, 0.06712175689787464, 0.06712175689787464, 0.06712175689787464, 0.06871014125215687, 0.06871014125215687, 0.06929243153233643, 0.06929243153233643, 0.06956349298145345, 0.06956349298145345, 0.06459584708725775, 0.0643708324908222, 0.06384113193310657, 0.06259805490513579
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08852962613868474, 0.1498908135983912, 0.1498908135983912, 0.1498908135983912, 0.1498908135983912, 0.15048894263894455, 0.15139732538399062, 0.1098167020899903, 0.11019224880790268, 0.10870934051746355, 0.10870934051746355, 0.10870934051746355, 0.10870934051746355, 0.09277334973708867, 0.09277334973708867, 0.09172506626888152, 0.09172506626888152, 0.09208388077189973, 0.09208388077189973, 0.08379785746123793, 0.08350595415895082, 0.08450897057223195, 0.08452072917829066
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08852962613868474, 0.1498908135983912, 0.1498908135983912, 0.1498908135983912, 0.1498908135983912, 0.15048894263894455, 0.15139732538399062, 0.1098167020899903, 0.11019224880790268, 0.10870934051746355, 0.10870934051746355, 0.10870934051746355, 0.10870934051746355, 0.09277334973708867, 0.09277334973708867, 0.09172506626888152, 0.09172506626888152, 0.09208388077189973, 0.09208388077189973, 0.08379785746123793, 0.08350595415895082, 0.08450897057223195, 0.08452072917829066
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09214498367969552, 0.09214498367969552, 0.09214498367969552, 0.09214498367969552, 0.09214498367969552, 0.09214498367969552, 0.09341046628377771, 0.09341046628377771, 0.09341046628377771, 0.09341046628377771, 0.09341046628377771, 0.09341046628377771, 0.09468482277907185, 0.09468482277907185, 0.09468482277907185, 0.09468482277907185, 0.09468482277907185, 0.09468482277907185, 0.09596788406297461, 0.09596788406297461, 0.09596788406297461, 0.09596788406297461, 0.09596788406297461, 0.09594239188223107, 0.1657566053764174, 0.1657566053764174, 0.1657566053764174, 0.1657566053764174, 0.1664180457739912, 0.16742257991845702, 0.3559268316011898, 0.3571440157897593, 0.3595283224217029, 0.3595283224217029, 0.3595283224217029, 0.3595283224217029, 0.38326855236828905, 0.38326855236828905, 0.38651659623307355, 0.38651659623307355, 0.388028590347955, 0.388028590347955, 0.42262238668857455, 0.42115021455873314, 0.41768461539057533, 0.41774273216582314
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08852962613868474, 0.11917267284385867, 0.11917267284385867, 0.11917267284385867, 0.11917267284385867, 0.11964822324456074, 0.11796303835123625, 0.05771965125156506, 0.056758698914360375, 0.05713762208333114, 0.05713762208333114, 0.05713762208333114, 0.05713762208333114, 0.05088173885031099, 0.05088173885031099, 0.05030680557667615, 0.05030680557667615, 0.05050359814577078, 0.05050359814577078, 0.05282788955667521, 0.05264386772268517, 0.05327618985966651, 0.05328360272630809
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08501666164476683, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08585789656478407, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08669861679413018, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08753865142213393, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08837783009628654, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.08921598315996992, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.0900529417889847, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09088853812664552, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.09030208576362769, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0897114153110001, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.0891166029244401, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08851772753344933, 0.08852962613868474, 0.12636963394274742, 0.12636963394274742, 0.12636963394274742, 0.12636963394274742, 0.12687390332451068, 0.12508694837071618, 0.06411994364379169, 0.06305243529317144, 0.06347337567851505, 0.06347337567851505, 0.06347337567851505, 0.06347337567851505, 0.06263719363609889, 0.06263719363609889, 0.06192943074115447, 0.06192943074115447, 0.062171689251477584, 0.062171689251477584, 0.052021808513006654, 0.05289856488828328, 0.05353394627343542, 0.05354139500438949
Occupy-Asia-South-America, 0.08333333333333333, 0.08166666825612386, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08165000502189981, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.08080877010188262, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.0799680498725365, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07912801524453274, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07828883657038012, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07745068350669673, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07661372487768198, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07577812854002117, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07528917510911178, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07479670485481374, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07430078127176377, 0.07380147016726876, 0.07380147016726876, 0.07380147016726876, 0.07380147016726876, 0.07380147016726876, 0.07381139060449397, 0.026290874742511735, 0.026290874742511735, 0.026290874742511735, 0.026290874742511735, 0.02586787144998225, 0.026024015334470893, 0.017921734822968598, 0.017983022847139516, 0.017741016953297852, 0.017741016953297852, 0.017741016953297852, 0.017741016953297852, 0.01780028030823672, 0.01780028030823672, 0.017599147767162607, 0.017599147767162607, 0.017314633433348995, 0.017314633433348995, 0.01313399155895866, 0.013355347008938208, 0.013515762303750982, 0.013517642891378981
