s0914007
WINNER
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08040220068366173, 0.08040220068366173, 0.08040220068366173, 0.08040220068366173, 0.07850950346580585, 0.07901147449394022, 0.0543005208388752, 0.0543005208388752, 0.054670497285905686, 0.054670497285905686, 0.054670497285905686, 0.054670497285905686, 0.052064154267519994, 0.052064154267519994, 0.052064154267519994, 0.052064154267519994, 0.052064154267519994, 0.052064154267519994
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09416455825096465, 0.09287129329143684, 0.1419612291581109, 0.1419612291581109, 0.14292848159636737, 0.14292848159636737, 0.14292848159636737, 0.14292848159636737, 0.15463262475135106, 0.15463262475135106, 0.15463262475135106, 0.15463262475135106, 0.15463262475135106, 0.15463262475135106
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.07975392671297984, 0.08054857286994371, 0.08054857286994371, 0.08054857286994371, 0.08054857286994371, 0.08054857286994371, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07487380867979418, 0.07487380867979418, 0.07487380867979418, 0.07487380867979418, 0.07487380867979418, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07122368519756837, 0.07122368519756837, 0.07122368519756837, 0.07122368519756837, 0.0709663798351846, 0.07142012193106166, 0.01585372288071398, 0.01585372288071398, 0.015329657783763913, 0.015329657783763913, 0.015329657783763913, 0.015329657783763913, 0.009262947156131343, 0.009262947156131343, 0.009262947156131343, 0.009262947156131343, 0.009262947156131343, 0.009262947156131343
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09416455825096465, 0.09476662396317034, 0.09990951331920706, 0.09990951331920706, 0.09660687650778914, 0.09660687650778914, 0.09660687650778914, 0.09660687650778914, 0.09928821729740016, 0.09928821729740016, 0.09928821729740016, 0.09928821729740016, 0.09928821729740016, 0.09928821729740016
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09228126888199176, 0.09287129329143683, 0.16944019908977387, 0.16944019908977387, 0.17059467941288878, 0.17059467941288878, 0.17059467941288878, 0.17059467941288878, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08558144158349817, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.08614225388238192, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08754807515497721, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08839643271632568, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08895402385293737, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.08980389389382427, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.09065267090860296, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.0912105591850644, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09176399213723192, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09261585640619774, 0.09228126888199176, 0.09287129329143683, 0.16944019908977387, 0.16944019908977387, 0.17059467941288878, 0.17059467941288878, 0.17059467941288878, 0.17059467941288878, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152, 0.18691622422214152
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.08138155628647942, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08040220068366173, 0.08040220068366173, 0.08040220068366173, 0.08040220068366173, 0.08011173667122015, 0.08062395199608202, 0.03836894834635907, 0.03836894834635907, 0.03710061366015941, 0.03710061366015941, 0.03710061366015941, 0.03710061366015941, 0.03813034769486411, 0.03813034769486411, 0.03813034769486411, 0.03813034769486411, 0.03813034769486411, 0.03813034769486411
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.07975392671297984, 0.08054857286994371, 0.08054857286994371, 0.08054857286994371, 0.08054857286994371, 0.08054857286994371, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.0794548783973841, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07836906117186171, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07755380439180254, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07673921074385501, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07567880598727234, 0.07416523131098555, 0.07487380867979418, 0.07487380867979418, 0.07487380867979418, 0.07487380867979418, 0.07487380867979418, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07406984668716629, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07303516989500967, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07200875608460582, 0.07122368519756837, 0.07122368519756837, 0.07122368519756837, 0.07122368519756837, 0.0709663798351846, 0.06999172085467113, 0.031203408162559294, 0.031203408162559294, 0.031416012496898585, 0.031416012496898585, 0.031416012496898585, 0.031416012496898585, 0.023329989812296746, 0.023329989812296746, 0.023329989812296746, 0.023329989812296746, 0.023329989812296746, 0.023329989812296746
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08166666825612386, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.08138155628647942, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.08219241969617112, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.0827310238489845, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08239955276242662, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08153406134262613, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08204836569337405, 0.08040739994445495, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08117561522374776, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08030398720697117, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08079818834375893, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08040220068366173, 0.08040220068366173, 0.08040220068366173, 0.08040220068366173, 0.08011173667122015, 0.07901147449394023, 0.05729603442123364, 0.05729603442123364, 0.05768642079168863, 0.05768642079168863, 0.05768642079168863, 0.05768642079168863, 0.06241025273549426, 0.06241025273549426, 0.06241025273549426, 0.06241025273549426, 0.06241025273549426, 0.06241025273549426
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08386981438416465, 0.08386981438416465, 0.08386981438416465, 0.08386981438416465, 0.08386981438416465, 0.08273102384898448, 0.08273102384898448, 0.08273102384898448, 0.08273102384898448, 0.08273102384898448, 0.08273102384898448, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.08239955276242661, 0.08239955276242661, 0.08239955276242661, 0.08239955276242661, 0.08239955276242661, 0.08239955276242661, 0.08319802015892838, 0.08319802015892838, 0.08319802015892838, 0.08319802015892838, 0.08319802015892838, 0.08319802015892838, 0.08204836569337404, 0.08204836569337404, 0.08204836569337404, 0.08204836569337404, 0.08204836569337404, 0.08204836569337404, 0.08204836569337404, 0.08283225882025284, 0.08283225882025284, 0.08283225882025284, 0.08283225882025284, 0.08283225882025284, 0.0836151437745729, 0.0836151437745729, 0.0836151437745729, 0.0836151437745729, 0.0836151437745729, 0.0836151437745729, 0.08244712935837217, 0.08244712935837217, 0.08244712935837217, 0.08244712935837217, 0.08244712935837217, 0.08244712935837217, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08128844276500576, 0.08204306032532095, 0.08204306032532095, 0.08204306032532095, 0.08204306032532095, 0.08174666848165935, 0.08226933717032543, 0.06981112295334832, 0.06981112295334832, 0.07028678084455213, 0.07028678084455213, 0.07028678084455213, 0.07028678084455213, 0.045794808914892265, 0.045794808914892265, 0.045794808914892265, 0.045794808914892265, 0.045794808914892265, 0.045794808914892265
