s0914007
LOSER
Conquer the continents of EUROPE and AUSTRALIA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101, Turn 102, Turn 103, Turn 104, Turn 105
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08051531909586801, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08080447002280551, 0.08106936638178981, 0.05436476057080852, 0.055741914938401665, 0.055741914938401665, 0.0571176055265996, 0.0571176055265996, 0.0578096374056404, 0.07464234734328105, 0.07541012222286243, 0.07541012222286243, 0.07541012222286243, 0.07541012222286243, 0.07541012222286243, 0.07160468689447484, 0.07160468689447484, 0.07160468689447484, 0.07160468689447484, 0.07160468689447484, 0.07111756266280565, 0.0929296961258735, 0.0929296961258735, 0.08997408606002018, 0.08997408606002018, 0.08852311737120733, 0.08852311737120733, 0.11405605225043394
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.0861713555300309, 0.0861713555300309, 0.0861713555300309, 0.0861713555300309, 0.0861713555300309, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.09024801039717098, 0.09024801039717098, 0.09024801039717098, 0.09024801039717098, 0.09024801039717098, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.09629023497278517, 0.09629023497278517, 0.09629023497278517, 0.09629023497278517, 0.09691714873365351, 0.09529017083172626, 0.15060581277498125, 0.14824653620607287, 0.14824653620607287, 0.14588976731568656, 0.14588976731568656, 0.1447042106086254, 0.16334323295243858, 0.1617229248890334, 0.1617229248890334, 0.1617229248890334, 0.1617229248890334, 0.1617229248890334, 0.18245136766779757, 0.18245136766779757, 0.18245136766779757, 0.18245136766779757, 0.18245136766779757, 0.18121015726458548, 0.19176752898633087, 0.19176752898633087, 0.1933240259697818, 0.1933240259697818, 0.19408814178238873, 0.19408814178238873, 0.17877117387600358
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08002789238484725, 0.08110379518952718, 0.08110379518952718, 0.08110379518952718, 0.08110379518952718, 0.08110379518952718, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07732691546965903, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07404936529683272, 0.07404936529683272, 0.07404936529683272, 0.07404936529683272, 0.07304084803589124, 0.07477580812330582, 0.040024411957023845, 0.04103830023976852, 0.04103830023976852, 0.042051110859171854, 0.042051110859171854, 0.04256059841550987, 0.02630220024284083, 0.026572745976501902, 0.026572745976501902, 0.026572745976501902, 0.026572745976501902, 0.026572745976501902, 0.016412560776325927, 0.016412560776325927, 0.016412560776325927, 0.016412560776325927, 0.016412560776325927, 0.01697983029188249, 0.010682922120586915, 0.010682922120586915, 0.010343153957463193, 0.010343153957463193, 0.010176354902390395, 0.010176354902390395, 0.009150068912582804
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08166111308906647, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08051531909586801, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.07918838216357235, 0.07785902250377086, 0.03891964821018539, 0.03990555089705615, 0.03990555089705615, 0.04089040566651643, 0.04089040566651643, 0.04138583022094671, 0.055806847944809404, 0.05638087994521781, 0.05638087994521781, 0.05638087994521781, 0.05638087994521781, 0.05638087994521781, 0.05616792920884476, 0.05616792920884476, 0.05616792920884476, 0.05616792920884476, 0.05616792920884476, 0.05578582071082661, 0.046344513583922275, 0.046344513583922275, 0.046720672655138226, 0.046720672655138226, 0.04690533674214107, 0.04690533674214107, 0.040201948337589034
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08080447002280551, 0.07944798060042946, 0.05443567218754217, 0.05581462287027903, 0.05581462287027903, 0.05719210786431468, 0.05719210786431468, 0.0578850424071189, 0.08496778661999305, 0.08584176947908562, 0.08584176947908562, 0.08584176947908562, 0.08584176947908562, 0.08584176947908562, 0.09390965296136426, 0.09390965296136426, 0.09390965296136426, 0.09390965296136426, 0.09390965296136426, 0.0932707888097405, 0.10087070313272532, 0.10087070313272532, 0.10168942852369518, 0.10168942852369518, 0.1020913573575281, 0.1020913573575281, 0.10681294203150107
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08166111308906647, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08051531909586801, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08080447002280551, 0.07944798060042946, 0.05443567218754217, 0.05581462287027903, 0.05581462287027903, 0.05719210786431468, 0.05719210786431468, 0.0578850424071189, 0.08496778661999305, 0.08584176947908562, 0.08584176947908562, 0.08584176947908562, 0.08584176947908562, 0.08584176947908562, 0.09390965296136426, 0.09390965296136426, 0.09390965296136426, 0.09390965296136426, 0.09390965296136426, 0.0932707888097405, 0.10087070313272532, 0.10087070313272532, 0.10168942852369518, 0.10168942852369518, 0.1020913573575281, 0.1020913573575281, 0.10681294203150107
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08332766479562999, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08275897307247454, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08218662168345398, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08161069310393664, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08051531909586801, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08099219189342521, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.08040396845264548, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07981248320964675, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07921783065293878, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.07975163135462396, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.08028178198607647, 0.07918838216357235, 0.07944798060042946, 0.04555320165639246, 0.04670714384173959, 0.04670714384173959, 0.04785985950024708, 0.04785985950024708, 0.04843972534362807, 0.06531869415952832, 0.06599056548093926, 0.06599056548093926, 0.06599056548093926, 0.06599056548093926, 0.06599056548093926, 0.0657413189362508, 0.0657413189362508, 0.0657413189362508, 0.0657413189362508, 0.0657413189362508, 0.06529408299591447, 0.05438728763627418, 0.05438728763627418, 0.0548287265471858, 0.0548287265471858, 0.05504543782623993, 0.05504543782623993, 0.04996692039970252
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.08332766479562997, 0.08332766479562997, 0.08332766479562997, 0.08332766479562997, 0.08332766479562997, 0.08332766479562997, 0.08332766479562997, 0.08444793006301844, 0.08444793006301844, 0.08444793006301844, 0.08444793006301844, 0.08444793006301844, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08670992564623733, 0.08670992564623733, 0.08670992564623733, 0.08670992564623733, 0.08670992564623733, 0.08670992564623733, 0.08670992564623733, 0.08554611003357628, 0.08554611003357628, 0.08554611003357628, 0.08554611003357628, 0.08554611003357628, 0.08554611003357628, 0.08667419255927766, 0.08667419255927766, 0.08667419255927766, 0.08667419255927766, 0.08667419255927766, 0.08780895644544498, 0.08780895644544498, 0.08780895644544498, 0.08780895644544498, 0.08780895644544498, 0.08780895644544498, 0.08895022762268388, 0.08895022762268388, 0.08895022762268388, 0.08895022762268388, 0.08895022762268388, 0.08895022762268388, 0.09009782734890671, 0.09009782734890671, 0.09009782734890671, 0.09009782734890671, 0.09009782734890671, 0.09009782734890671, 0.09125157229749752, 0.09125157229749752, 0.09125157229749752, 0.09125157229749752, 0.09125157229749752, 0.09125157229749752, 0.0900291335843824, 0.0900291335843824, 0.0900291335843824, 0.0900291335843824, 0.0900291335843824, 0.0900291335843824, 0.08881505377215276, 0.08881505377215276, 0.08881505377215276, 0.08881505377215276, 0.08939329910926053, 0.09151668362912084, 0.16898368665636462, 0.16633651623770504, 0.16633651623770504, 0.16369215950036226, 0.16369215950036226, 0.162361933665064, 0.09491899752615701, 0.09397743408161106, 0.09397743408161106, 0.09397743408161106, 0.09397743408161106, 0.09397743408161106, 0.0776193935252147, 0.0776193935252147, 0.0776193935252147, 0.0776193935252147, 0.0776193935252147, 0.0803021629213442, 0.05521394884538964, 0.05521394884538964, 0.05566209742026327, 0.05566209742026327, 0.05588210260890102, 0.05588210260890102, 0.04636322544949327
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08389261691270983, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.08502822772841351, 0.0861713555300309, 0.0861713555300309, 0.0861713555300309, 0.0861713555300309, 0.0861713555300309, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08847951424349441, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.08907341389384921, 0.09024801039717098, 0.09024801039717098, 0.09024801039717098, 0.09024801039717098, 0.09024801039717098, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09142956375201905, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09261789271163419, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09381281116389571, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.09501412822312179, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.0956543705511112, 0.09629023497278517, 0.09629023497278517, 0.09629023497278517, 0.09629023497278517, 0.09691714873365351, 0.09723486630318201, 0.17369745087880664, 0.17097643820083142, 0.17097643820083142, 0.16825831769121868, 0.16825831769121868, 0.1668909854874048, 0.18838783616228985, 0.18651909434505096, 0.18651909434505096, 0.18651909434505096, 0.18651909434505096, 0.18651909434505096, 0.21042572586888184, 0.21042572586888184, 0.21042572586888184, 0.21042572586888184, 0.21042572586888184, 0.20899420686526726, 0.22198739200293321, 0.22198739200293321, 0.2237891709998422, 0.2237891709998422, 0.22467370070789774, 0.22467370070789774, 0.21910105516804307
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08166666825612386, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.0822147661745803, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08166111308906646, 0.08002789238484725, 0.08110379518952718, 0.08110379518952718, 0.08110379518952718, 0.08110379518952718, 0.08110379518952718, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.08054289081737029, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07997848079845833, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07732691546965903, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.0777849041222604, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07721997430774538, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07665191185825729, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07608080752056444, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07506160180063463, 0.07404936529683272, 0.07404936529683272, 0.07404936529683272, 0.07404936529683272, 0.07453147613705728, 0.07477580812330581, 0.04780827825598268, 0.04901934547151067, 0.04901934547151067, 0.05022912544192074, 0.05022912544192074, 0.05083769710282415, 0.03499363363430851, 0.03535357988206159, 0.03535357988206159, 0.03535357988206159, 0.03535357988206159, 0.03535357988206159, 0.024321599093326284, 0.024321599093326284, 0.024321599093326284, 0.024321599093326284, 0.024321599093326284, 0.025162229749520613, 0.02056732965149077, 0.02056732965149077, 0.0199131899191997, 0.0199131899191997, 0.019592059510074252, 0.019592059510074252, 0.02018155711978657
