s0914007
Destroy all of blue bob's TROOPS. If they are yours or they have already been destroyed by another player then your mission is: Occupy 24 countries., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101, Turn 102, Turn 103, Turn 104, Turn 105, Turn 106
Occupy-Europe-Australia-Asia, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08732183962966462, 0.08790595053869131, 0.08790595053869131, 0.08790595053869131, 0.08790595053869131, 0.08790595053869131, 0.08790595053869131, 0.08907341389384925, 0.08907341389384925, 0.08907341389384925, 0.08907341389384925, 0.08907341389384925, 0.08907341389384925, 0.09024801039717104, 0.09024801039717104, 0.09024801039717104, 0.09024801039717104, 0.09024801039717104, 0.09024801039717104, 0.09084768011889918, 0.09084768011889918, 0.09084768011889918, 0.09084768011889918, 0.09084768011889918, 0.09084768011889918, 0.09203920828354688, 0.09203920828354688, 0.09203920828354688, 0.09203920828354688, 0.09203920828354688, 0.09203920828354688, 0.09203920828354688, 0.09264459965687413, 0.09264459965687413, 0.09264459965687413, 0.09264459965687413, 0.09264459965687413, 0.09324565998650218, 0.09324565998650218, 0.09324565998650218, 0.09324565998650218, 0.09324565998650218, 0.09324565998650218, 0.09384231425206348, 0.09384231425206348, 0.09384231425206348, 0.09384231425206348, 0.09384231425206348, 0.09384231425206348, 0.09507073411750963, 0.09507073411750963, 0.09507073411750963, 0.09507073411750963, 0.09507073411750963, 0.09507073411750963, 0.11070107899645999, 0.11132715531288062, 0.11132715531288062, 0.11132715531288062, 0.10860928867768285, 0.10731380894776464, 0.11900014341658291, 0.11900014341658291, 0.11900014341658291, 0.11900014341658291, 0.11625678929732554, 0.11759916244732763, 0.12611776313769565, 0.12611776313769565, 0.12611776313769565, 0.12472614009867551, 0.12472614009867551, 0.12472614009867551, 0.14783160792139205, 0.14640236912224977, 0.14640236912224977, 0.14640236912224977, 0.14359525041000276, 0.14359525041000276, 0.150601340732744, 0.150601340732744, 0.150601340732744, 0.150601340732744
Occupy-Europe-South-America-North-America, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.07988459326266302, 0.08036853252408335, 0.08036853252408335, 0.08036853252408335, 0.08163938559615093, 0.080665599923761, 0.07316043726112169, 0.07316043726112169, 0.07316043726112169, 0.07316043726112169, 0.07442090793713262, 0.07380413667163513, 0.06875381424260542, 0.06875381424260542, 0.06875381424260542, 0.0693828180842905, 0.0693828180842905, 0.0693828180842905, 0.05604936786257529, 0.0566629512872177, 0.0566629512872177, 0.0566629512872177, 0.057868069363967316, 0.057868069363967316, 0.05486029984626225, 0.05486029984626225, 0.05486029984626225, 0.05486029984626225
Occupy-Asia-Africa, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.0848940418014346, 0.08545243557200183, 0.08545243557200183, 0.08545243557200183, 0.08545243557200183, 0.08545243557200183, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08311459688552571, 0.08194574297002381, 0.08194574297002381, 0.08194574297002381, 0.07994517446462385, 0.08224864023608329, 0.09120541037432557, 0.09120541037432557, 0.09120541037432557, 0.09120541037432557, 0.08910281846926323, 0.09013165499421447, 0.09666057545996713, 0.09666057545996713, 0.09666057545996713, 0.09559399228858491, 0.09559399228858491, 0.09559399228858491, 0.11315703037672886, 0.1120630260532682, 0.1120630260532682, 0.1120630260532682, 0.1099143298315392, 0.1099143298315392, 0.11527710973104548, 0.11527710973104548, 0.11527710973104548, 0.11527710973104548
Occupy-Europe-South-America-Africa, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.0766178753882633, 0.07708202493841593, 0.07708202493841593, 0.07708202493841593, 0.07830090906031799, 0.07736694437132309, 0.07379994242990622, 0.07379994242990622, 0.07379994242990622, 0.07379994242990622, 0.07507143104870956, 0.07444926850307476, 0.07148505517430463, 0.07148505517430463, 0.07148505517430463, 0.07213904615390392, 0.07213904615390392, 0.07213904615390392, 0.06382726316721793, 0.06452599273747314, 0.06452599273747314, 0.06452599273747314, 0.0658983434269736, 0.0658983434269736, 0.06247318978342855, 0.06247318978342855, 0.06247318978342855, 0.06247318978342855
Occupy-Europe-Australia-South-America, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08323506024936342, 0.08373929657249159, 0.08373929657249159, 0.08373929657249159, 0.08506345092693421, 0.08404882337735356, 0.08017375349321902, 0.08017375349321902, 0.08017375349321902, 0.08017375349321902, 0.0815550555882741, 0.08087915930808642, 0.07765893852068072, 0.07765893852068072, 0.07765893852068072, 0.07836941213161858, 0.07836941213161858, 0.07836941213161858, 0.06933977310586165, 0.07009884920374983, 0.07009884920374983, 0.07009884920374983, 0.07158972443025505, 0.07158972443025505, 0.06786875372414915, 0.06786875372414915, 0.06786875372414915, 0.06786875372414915
Occupy-Europe-South-America-Australia, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08323506024936342, 0.08373929657249159, 0.08373929657249159, 0.08373929657249159, 0.08506345092693421, 0.08404882337735356, 0.08017375349321902, 0.08017375349321902, 0.08017375349321902, 0.08017375349321902, 0.0815550555882741, 0.08087915930808642, 0.07765893852068072, 0.07765893852068072, 0.07765893852068072, 0.07836941213161858, 0.07836941213161858, 0.07836941213161858, 0.06933977310586165, 0.07009884920374983, 0.07009884920374983, 0.07009884920374983, 0.07158972443025505, 0.07158972443025505, 0.06786875372414915, 0.06786875372414915, 0.06786875372414915, 0.06786875372414915
Occupy-North-America-Australia, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08054289081737027, 0.08054289081737027, 0.08054289081737027, 0.08054289081737027, 0.08054289081737027, 0.08054289081737027, 0.07946002458694423, 0.07946002458694423, 0.07946002458694423, 0.07946002458694423, 0.07946002458694423, 0.07946002458694423, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07890501424965848, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07834661282437771, 0.07728985896667694, 0.07728985896667694, 0.07728985896667694, 0.07728985896667694, 0.07728985896667694, 0.07728985896667694, 0.07673749737633508, 0.07673749737633508, 0.07673749737633508, 0.07673749737633508, 0.07673749737633508, 0.07673749737633508, 0.07520274889245998, 0.07569739781740221, 0.07569739781740221, 0.07569739781740221, 0.07569739781740221, 0.07569739781740221, 0.07466473925753163, 0.07466473925753163, 0.07466473925753163, 0.07466473925753163, 0.07466473925753163, 0.07466473925753163, 0.07363965058632208, 0.07363965058632208, 0.07363965058632208, 0.07363965058632208, 0.07363965058632208, 0.07363965058632208, 0.07311154159811992, 0.07311154159811992, 0.07311154159811992, 0.07311154159811992, 0.07311154159811992, 0.07311154159811992, 0.06572604786634645, 0.06482766292219068, 0.06482766292219068, 0.06482766292219068, 0.06585277103343981, 0.06775019142243913, 0.06144668400997421, 0.06144668400997421, 0.06144668400997421, 0.06144668400997421, 0.06250534011199073, 0.06198732039428197, 0.057745607549709026, 0.057745607549709026, 0.057745607549709026, 0.058273901279872704, 0.058273901279872704, 0.058273901279872704, 0.04713721588763543, 0.04765323623639935, 0.04765323623639935, 0.04765323623639935, 0.04866673403521697, 0.04866673403521697, 0.04613721610302671, 0.04613721610302671, 0.04613721610302671, 0.04613721610302671
Occupy-Europe-Australia-North-America, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.07988459326266302, 0.08036853252408335, 0.08036853252408335, 0.08036853252408335, 0.08163938559615093, 0.080665599923761, 0.07316043726112169, 0.07316043726112169, 0.07316043726112169, 0.07316043726112169, 0.07442090793713262, 0.07380413667163513, 0.06875381424260542, 0.06875381424260542, 0.06875381424260542, 0.0693828180842905, 0.0693828180842905, 0.0693828180842905, 0.05604936786257529, 0.0566629512872177, 0.0566629512872177, 0.0566629512872177, 0.057868069363967316, 0.057868069363967316, 0.05486029984626225, 0.05486029984626225, 0.05486029984626225, 0.05486029984626225
Occupy-Europe-Australia-Africa, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08218662168345395, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08273638223024213, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.08215848727430533, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.0815770614063912, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08211911539182182, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08153224091977951, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08206852231790729, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08260096709352491, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08312950879040361, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.08253334299619496, 0.0766178753882633, 0.07708202493841593, 0.07708202493841593, 0.07708202493841593, 0.07830090906031799, 0.07736694437132309, 0.07379994242990622, 0.07379994242990622, 0.07379994242990622, 0.07379994242990622, 0.07507143104870956, 0.07444926850307476, 0.07148505517430463, 0.07148505517430463, 0.07148505517430463, 0.07213904615390392, 0.07213904615390392, 0.07213904615390392, 0.06382726316721793, 0.06452599273747314, 0.06452599273747314, 0.06452599273747314, 0.0658983434269736, 0.0658983434269736, 0.06247318978342855, 0.06247318978342855, 0.06247318978342855, 0.06247318978342855
Occupy-Asia-South-America, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08557540450260324, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.08442487818363813, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0855461100335763, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0866741925592777, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.0855051147389585, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.08662657158077947, 0.0848940418014346, 0.08545243557200183, 0.08545243557200183, 0.08545243557200183, 0.08545243557200183, 0.08545243557200183, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.08428669947539151, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.0831295087904036, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08421769529578559, 0.08976026420741427, 0.08849795120576641, 0.08849795120576641, 0.08849795120576641, 0.08633742147526603, 0.088825067496382, 0.09849800202509065, 0.09849800202509065, 0.09849800202509065, 0.09849800202509065, 0.09622729131974121, 0.097338391436524, 0.10438935056951847, 0.10438935056951847, 0.10438935056951847, 0.10323748566431645, 0.10323748566431645, 0.10323748566431645, 0.12220482711996897, 0.12102334852538314, 0.12102334852538314, 0.12102334852538314, 0.11870284709974901, 0.11870284709974901, 0.12449442353401699, 0.12449442353401699, 0.12449442353401699, 0.12449442353401699
