s0914007
Conquer the continents of ASIA and SOUTH AMERICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101, Turn 102, Turn 103, Turn 104, Turn 105, Turn 106, Turn 107, Turn 108, Turn 109
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08498173932600112, 0.08498173932600112, 0.08498173932600112, 0.08498173932600112, 0.08498173932600112, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08433264475851959, 0.08433264475851959, 0.08433264475851959, 0.08433264475851959, 0.08433264475851959, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08454324182716388, 0.08454324182716388, 0.08454324182716388, 0.08454324182716388, 0.08454324182716388, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08583513855262374, 0.08583513855262374, 0.08638625633523324, 0.08547772635633404, 0.0854959782432508, 0.1355291106821335, 0.13610884016472855, 0.13170835010656073, 0.13170835010656073, 0.13225309478636388, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693, 0.1309251783008693
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08411843741874658, 0.08411843741874658, 0.08465853285621562, 0.08547772635633401, 0.0854617799171817, 0.02201525332017389, 0.021233891798609465, 0.023195304136134246, 0.023195304136134246, 0.02376657068848445, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632, 0.023527937172407632
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08360633335068018, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08472841124772745, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.08498173932600112, 0.08498173932600112, 0.08498173932600112, 0.08498173932600112, 0.08498173932600112, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08410617775480884, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08323115187627733, 0.08433264475851959, 0.08433264475851959, 0.08433264475851959, 0.08433264475851959, 0.08433264475851959, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08544076529567296, 0.08454324182716388, 0.08454324182716388, 0.08454324182716388, 0.08454324182716388, 0.08454324182716388, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08364663289079878, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08473780836216681, 0.08583513855262374, 0.08583513855262374, 0.08465853285621565, 0.08547772635633404, 0.0854959782432508, 0.20730188742371253, 0.20818862692441648, 0.2014577490336363, 0.2014577490336363, 0.19832449063802424, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518, 0.20033996515292518
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08411843741874658, 0.08411843741874658, 0.08296536381382467, 0.08376817345956557, 0.08375254594889214, 0.0400310811833365, 0.04020231522940477, 0.04391587456350569, 0.04391587456350569, 0.044997458581895675, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08411843741874658, 0.08411843741874658, 0.08465853285621562, 0.08376817345956557, 0.08375254594889214, 0.0400310811833365, 0.04020231522940477, 0.04391587456350569, 0.04391587456350569, 0.044997458581895675, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08360633335068017, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08303384463883909, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08328210616037912, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08410617775480883, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08492974515956223, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08433264475851958, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08373195161941274, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08454324182716386, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08535370537021023, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08473780836216678, 0.08411843741874658, 0.08411843741874658, 0.08465853285621562, 0.08376817345956557, 0.08375254594889214, 0.0400310811833365, 0.04020231522940477, 0.04391587456350569, 0.04391587456350569, 0.044997458581895675, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944, 0.044545651634369944
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0745156855792583, 0.0745156855792583, 0.07499412506335013, 0.07420540688349331, 0.0742212518147144, 0.033211739537222215, 0.03203299428450121, 0.03499193891855064, 0.03499193891855064, 0.03515072556070568, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534, 0.035507945142210534
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0745156855792583, 0.0745156855792583, 0.07499412506335013, 0.07420540688349331, 0.0742212518147144, 0.019119653978946043, 0.018441062562917013, 0.02014449629852362, 0.02014449629852362, 0.02064062589793516, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644, 0.020433379122764644
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08193420827833084, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.08054300109705316, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07998413786984918, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07916006627541951, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07833649887066604, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07778575242954494, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07723169216096823, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.07642040195321716, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0756099384101708, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0750643506744868, 0.0745156855792583, 0.0745156855792583, 0.07349424399248254, 0.07272130016117925, 0.07273682819407813, 0.03476591477269662, 0.034914626925249506, 0.03813975308962716, 0.03813975308962716, 0.03907907965017256, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883, 0.03868669749692883
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08531258339129774, 0.08531258339129774, 0.08531258339129774, 0.08531258339129774, 0.08531258339129774, 0.08531258339129774, 0.08645756081497995, 0.08645756081497995, 0.08645756081497995, 0.08645756081497995, 0.08645756081497995, 0.08645756081497995, 0.08645756081497995, 0.08732195919111424, 0.08732195919111424, 0.08732195919111424, 0.08732195919111424, 0.08732195919111424, 0.08732195919111424, 0.08848577261354229, 0.08848577261354229, 0.08848577261354229, 0.08848577261354229, 0.08848577261354229, 0.0893613341847346, 0.0893613341847346, 0.0893613341847346, 0.0893613341847346, 0.0893613341847346, 0.0893613341847346, 0.09023636006326605, 0.09023636006326605, 0.09023636006326605, 0.09023636006326605, 0.09023636006326605, 0.09023636006326605, 0.09023636006326605, 0.0914305608653514, 0.0914305608653514, 0.0914305608653514, 0.0914305608653514, 0.0914305608653514, 0.09263194714356499, 0.09263194714356499, 0.09263194714356499, 0.09263194714356499, 0.09263194714356499, 0.09263194714356499, 0.09263194714356499, 0.0935294706120741, 0.0935294706120741, 0.0935294706120741, 0.0935294706120741, 0.0935294706120741, 0.09442607954843922, 0.09442607954843922, 0.09442607954843922, 0.09442607954843922, 0.09442607954843922, 0.09442607954843922, 0.09565787356452611, 0.09565787356452611, 0.09565787356452611, 0.09565787356452611, 0.09565787356452611, 0.09565787356452611, 0.09565787356452611, 0.09689661545136646, 0.09689661545136646, 0.09751875515720712, 0.09846238987032105, 0.09844402105570947, 0.23869697487249097, 0.23971800771955498, 0.23196776380845405, 0.23196776380845405, 0.22835998526952653, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606, 0.23068069578315606
