s0914007
Conquer the continents of EUROPE and AUSTRALIA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08529529383790907, 0.08614225388238195, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09167650362724677, 0.09167650362724677, 0.09167650362724677, 0.09227290416342619, 0.09227290416342619, 0.09100863277219447, 0.14260923216593235, 0.14375337472296842, 0.14375337472296842, 0.1432232859630437, 0.14391738031061777, 0.14391738031061777, 0.1393703896622461, 0.1393703896622461, 0.1393703896622461
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0835893895880295, 0.08273102384898452, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.08292206236545047, 0.08292206236545047, 0.08292206236545047, 0.08292206236545047, 0.08292206236545047, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08306506093049643, 0.08306506093049643, 0.08306506093049643, 0.08306506093049643, 0.08306506093049643, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08455949454893484, 0.08455949454893484, 0.08455949454893484, 0.08340740517113747, 0.08340740517113747, 0.08394347168928465, 0.04657864752747352, 0.04601329833079617, 0.04601329833079617, 0.04584362487235234, 0.04606579405861452, 0.04606579405861452, 0.049416190852101693, 0.049416190852101693, 0.049416190852101693
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08027925288525209, 0.07945487839738412, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07648467604183133, 0.07648467604183133, 0.07648467604183133, 0.07648467604183133, 0.07648467604183133, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07358255993399351, 0.07358255993399351, 0.07358255993399351, 0.07358255993399351, 0.07358255993399351, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.0705013016963671, 0.0705013016963671, 0.0705013016963671, 0.07095994717770027, 0.07095994717770027, 0.0699876939257468, 0.02803249501729375, 0.028257397501109584, 0.028257397501109584, 0.028727753219949383, 0.028289635847454784, 0.028289635847454784, 0.015945988996993236, 0.015945988996993236, 0.015945988996993236
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0830424027577258, 0.0835893895880295, 0.08273102384898452, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.08326574874842924, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.0837965282206971, 0.08292206236545047, 0.08292206236545047, 0.08292206236545047, 0.08292206236545047, 0.08292206236545047, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08344059116031849, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08395507986781682, 0.08306506093049643, 0.08306506093049643, 0.08306506093049643, 0.08306506093049643, 0.08306506093049643, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08356733921524019, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08406550041792574, 0.08455949454893484, 0.08455949454893484, 0.08455949454893484, 0.08510959545693955, 0.08510959545693955, 0.0856566020974639, 0.03844528701112828, 0.03797865662829134, 0.03797865662829134, 0.037838610809996676, 0.037261546790405706, 0.037261546790405706, 0.04121651152077049, 0.04121651152077049, 0.04121651152077049
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08529529383790907, 0.08614225388238195, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09167650362724677, 0.09167650362724677, 0.09167650362724677, 0.09227290416342619, 0.09227290416342619, 0.09286595000093575, 0.12450489008747181, 0.12299370967907036, 0.12299370967907036, 0.12254017192270142, 0.12313403094576732, 0.12313403094576732, 0.1423584018133757, 0.1423584018133757, 0.1423584018133757
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08529529383790907, 0.08614225388238195, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09167650362724677, 0.09167650362724677, 0.09167650362724677, 0.09227290416342619, 0.09227290416342619, 0.09286595000093575, 0.12450489008747181, 0.12299370967907036, 0.12299370967907036, 0.12254017192270142, 0.12313403094576732, 0.12313403094576732, 0.1423584018133757, 0.1423584018133757, 0.1423584018133757
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08529529383790907, 0.08614225388238195, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09167650362724677, 0.09167650362724677, 0.09167650362724677, 0.09042744784012365, 0.09042744784012365, 0.09100863277219447, 0.1630980922646482, 0.16440661532095532, 0.16440661532095532, 0.16380036799627962, 0.1645941838118594, 0.1645941838118594, 0.17656523167805308, 0.17656523167805308, 0.17656523167805308
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08473714402193168, 0.08529529383790907, 0.08614225388238195, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.0866990269754997, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08725169196051324, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.08810323241568006, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.0886541601377517, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.08920079533807028, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09005628995671491, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09060084284505499, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09114093213424208, 0.09167650362724677, 0.09167650362724677, 0.09167650362724677, 0.09227290416342619, 0.09227290416342619, 0.09286595000093575, 0.14027610487512454, 0.1414015289369843, 0.1414015289369843, 0.14088011257879365, 0.1387315970200864, 0.1387315970200864, 0.153456658657702, 0.153456658657702, 0.153456658657702
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08417508336421936, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08304240275772579, 0.08191760339060998, 0.08273102384898451, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.08160043536162875, 0.07996842821080097, 0.0804781888358097, 0.0804781888358097, 0.0804781888358097, 0.0804781888358097, 0.0804781888358097, 0.0804781888358097, 0.08126362269975428, 0.08126362269975428, 0.08126362269975428, 0.08126362269975428, 0.08126362269975428, 0.08013634686971573, 0.08013634686971573, 0.08013634686971573, 0.08013634686971573, 0.08013634686971573, 0.08013634686971573, 0.08013634686971573, 0.07901785414466218, 0.07901785414466218, 0.07901785414466218, 0.07901785414466218, 0.07901785414466218, 0.07901785414466218, 0.07977568762295578, 0.07977568762295578, 0.07977568762295578, 0.07977568762295578, 0.07977568762295578, 0.07865291572307417, 0.07865291572307417, 0.07865291572307417, 0.07865291572307417, 0.07865291572307417, 0.07865291572307417, 0.07753934697647404, 0.07753934697647404, 0.07753934697647404, 0.07753934697647404, 0.07753934697647404, 0.07753934697647404, 0.07643509312786015, 0.07643509312786015, 0.07643509312786015, 0.07539369547815447, 0.07539369547815447, 0.07587825719953037, 0.09514884370332093, 0.09591221532856799, 0.09591221532856799, 0.09750871263461376, 0.09798126321061697, 0.09798126321061697, 0.06568657100861126, 0.06568657100861126, 0.06568657100861126
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08249158330244728, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08138155628647943, 0.08027925288525209, 0.07945487839738412, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.0783690611718617, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07729125556651098, 0.07648467604183133, 0.07648467604183133, 0.07648467604183133, 0.07648467604183133, 0.07648467604183133, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07542369298685678, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07437097652051194, 0.07358255993399351, 0.07358255993399351, 0.07358255993399351, 0.07358255993399351, 0.07358255993399351, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07254695080197684, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.07151983036617945, 0.0705013016963671, 0.0705013016963671, 0.0705013016963671, 0.07095994717770027, 0.07095994717770027, 0.0699876939257468, 0.02433620201164163, 0.0240408209091881, 0.0240408209091881, 0.024440990018880386, 0.0245594369104396, 0.0245594369104396, 0.01463907157313037, 0.01463907157313037, 0.01463907157313037
