s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of NORTH AMERICA and AFRICA.,Turn 1,Turn 2,Turn 3,Turn 4,Turn 5,Turn 6,Turn 7,Turn 8,Turn 9,Turn 10,Turn 11,Turn 12,Turn 13,Turn 14,Turn 15,Turn 16,Turn 17,Turn 18,Turn 19,Turn 20,Turn 21,Turn 22,Turn 23,Turn 24,Turn 25,Turn 26,Turn 27,Turn 28,Turn 29,Turn 30,Turn 31,Turn 32,Turn 33,Turn 34,Turn 35,Turn 36,Turn 37,Turn 38,Turn 39,Turn 40,Turn 41,Turn 42,Turn 43,Turn 44,Turn 45,Turn 46,Turn 47,Turn 48,Turn 49,Turn 50,Turn 51,Turn 52,Turn 53,Turn 54,Turn 55,Turn 56,Turn 57,Turn 58,Turn 59,Turn 60,Turn 61,Turn 62,Turn 63,Turn 64,Turn 65,Turn 66,Turn 67,Turn 68,Turn 69,Turn 70,Turn 71,Turn 72,Turn 73,Turn 74,Turn 75,Turn 76,Turn 77,Turn 78,Turn 79,Turn 80,Turn 81,Turn 82,Turn 83,Turn 84,Turn 85,Turn 86,Turn 87,Turn 88,Turn 89,Turn 90,Turn 91,Turn 92,Turn 93,Turn 94,Turn 95,Turn 96,Turn 97,Turn 98,Turn 99
Occupy-Europe-Australia-Asia,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076039504,0.074379465,0.074379465,0.073342112,0.072066915,0.071513892,0.051452629,0.051925077,0.051925077,0.051925077,0.052508658,0.052508658,0.050469049,0.049977713,0.049977713,0.049977713,0.049977713,0.049977713,0.044041296,0.044050914,0.044050914,0.044050914
Occupy-Europe-South-America-North-America,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.088439872,0.088439872,0.088439872,0.088439872,0.088439872,0.088439872,0.087839397,0.087839397,0.087839397,0.087839397,0.087839397,0.087839397,0.087235014,0.087235014,0.087235014,0.087235014,0.087235014,0.087235014,0.088376142,0.088376142,0.088376142,0.088376142,0.088376142,0.088376142,0.087761037,0.087761037,0.087761037,0.087761037,0.087761037,0.087761037,0.088901769,0.088901769,0.088901769,0.088901769,0.088901769,0.088901769,0.090048828,0.090048828,0.090048828,0.090048828,0.090048828,0.090048828,0.091202033,0.092815097,0.092815097,0.093388392,0.093637398,0.094777223,0.05750702,0.056874361,0.056874361,0.056874361,0.057513566,0.057513566,0.062304548,0.062931947,0.062931947,0.062931947,0.062931947,0.062931947,0.064898424,0.064886631,0.064886631,0.064886631
Occupy-Asia-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.081574128,0.081574128,0.081574128,0.081574128,0.081574128,0.081574128,0.082673742,0.082673742,0.082673742,0.082673742,0.082673742,0.082673742,0.083780511,0.083780511,0.083780511,0.083780511,0.083780511,0.083780511,0.083178923,0.083178923,0.083178923,0.083178923,0.083178923,0.083178923,0.084285703,0.084285703,0.084285703,0.084285703,0.084285703,0.084285703,0.083673638,0.083673638,0.083673638,0.083673638,0.083673638,0.083673638,0.083058179,0.083058179,0.083058179,0.083058179,0.083058179,0.083058179,0.082439422,0.082285371,0.082285371,0.081137756,0.083014383,0.082377352,0.137392939,0.138654508,0.138654508,0.138654508,0.137353615,0.137353615,0.126737611,0.12550377,0.12550377,0.12550377,0.12550377,0.12550377,0.11471825,0.114743301,0.114743301,0.114743301
Occupy-Europe-South-America-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.081574128,0.081574128,0.081574128,0.081574128,0.081574128,0.081574128,0.082673742,0.082673742,0.082673742,0.082673742,0.082673742,0.082673742,0.083780511,0.083780511,0.083780511,0.083780511,0.083780511,0.083780511,0.083178923,0.083178923,0.083178923,0.083178923,0.083178923,0.083178923,0.084285703,0.084285703,0.084285703,0.084285703,0.084285703,0.084285703,0.083673638,0.083673638,0.083673638,0.083673638,0.083673638,0.083673638,0.083058179,0.083058179,0.083058179,0.083058179,0.083058179,0.083058179,0.082439422,0.080639665,0.080639665,0.081137756,0.081354097,0.080729806,0.080495816,0.081234944,0.081234944,0.081234944,0.080472777,0.080472777,0.071964231,0.071263631,0.071263631,0.071263631,0.071263631,0.071263631,0.06513939,0.065153614,0.065153614,0.065153614
Occupy-Europe-Australia-South-America,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076039504,0.074379465,0.074379465,0.074838888,0.073537667,0.072973358,0.039548564,0.039911707,0.039911707,0.039911707,0.040360271,0.040360271,0.037636527,0.03727012,0.03727012,0.03727012,0.03727012,0.03727012,0.032843128,0.0328503,0.0328503,0.0328503
Occupy-Europe-South-America-Australia,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076039504,0.074379465,0.074379465,0.074838888,0.073537667,0.072973358,0.039548564,0.039911707,0.039911707,0.039911707,0.040360271,0.040360271,0.037636527,0.03727012,0.03727012,0.03727012,0.03727012,0.03727012,0.032843128,0.0328503,0.0328503,0.0328503
Occupy-Europe-Australia-North-America,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.088439872,0.088439872,0.088439872,0.088439872,0.088439872,0.088439872,0.087839397,0.087839397,0.087839397,0.087839397,0.087839397,0.087839397,0.087235014,0.087235014,0.087235014,0.087235014,0.087235014,0.087235014,0.088376142,0.088376142,0.088376142,0.088376142,0.088376142,0.088376142,0.087761037,0.087761037,0.087761037,0.087761037,0.087761037,0.087761037,0.088901769,0.088901769,0.088901769,0.088901769,0.088901769,0.088901769,0.090048828,0.090048828,0.090048828,0.090048828,0.090048828,0.090048828,0.091202033,0.092815097,0.092815097,0.093388392,0.091764652,0.092881681,0.076832581,0.075987313,0.075987313,0.075987313,0.076841327,0.076841327,0.085674956,0.086537693,0.086537693,0.086537693,0.086537693,0.086537693,0.093761744,0.093744705,0.093744705,0.093744705
Occupy-North-America-Australia,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.088439872,0.088439872,0.088439872,0.088439872,0.088439872,0.088439872,0.087839397,0.087839397,0.087839397,0.087839397,0.087839397,0.087839397,0.087235014,0.087235014,0.087235014,0.087235014,0.087235014,0.087235014,0.088376142,0.088376142,0.088376142,0.088376142,0.088376142,0.088376142,0.087761037,0.087761037,0.087761037,0.087761037,0.087761037,0.087761037,0.088901769,0.088901769,0.088901769,0.088901769,0.088901769,0.088901769,0.090048828,0.090048828,0.090048828,0.090048828,0.090048828,0.090048828,0.091202033,0.09470928,0.09470928,0.095294276,0.095548363,0.096711451,0.100919704,0.099809443,0.099809443,0.099809443,0.100931192,0.100931192,0.112534176,0.113667382,0.113667382,0.113667382,0.113667382,0.113667382,0.123156183,0.123133803,0.123133803,0.123133803
Occupy-Europe-Australia-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.081574128,0.081574128,0.081574128,0.081574128,0.081574128,0.081574128,0.082673742,0.082673742,0.082673742,0.082673742,0.082673742,0.082673742,0.083780511,0.083780511,0.083780511,0.083780511,0.083780511,0.083780511,0.083178923,0.083178923,0.083178923,0.083178923,0.083178923,0.083178923,0.084285703,0.084285703,0.084285703,0.084285703,0.084285703,0.084285703,0.083673638,0.083673638,0.083673638,0.083673638,0.083673638,0.083673638,0.083058179,0.083058179,0.083058179,0.083058179,0.083058179,0.083058179,0.082439422,0.080639665,0.080639665,0.081137756,0.079727017,0.079115212,0.106890099,0.107871584,0.107871584,0.107871584,0.106859505,0.106859505,0.098600378,0.097640464,0.097640464,0.097640464,0.097640464,0.097640464,0.093825565,0.093846054,0.093846054,0.093846054
Occupy-Asia-South-America,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079942647,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.079399865,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078853551,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.078287341,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077742455,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.077177906,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076610225,0.076039504,0.075897412,0.075897412,0.074838888,0.07656983,0.075982252,0.051452626,0.051925074,0.051925074,0.051925074,0.052508655,0.052508655,0.048965068,0.048488374,0.048488374,0.048488374,0.048488374,0.048488374,0.040588456,0.04059732,0.04059732,0.04059732
