s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100
Occupy-Europe-Australia-Asia,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.091365877,0.091365877,0.091365877,0.091365877,0.091365877,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.093720859,0.093720859,0.093720859,0.093720859,0.093720859,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.098501005,0.098501005,0.098501005,0.098501005,0.0972977,0.132355611,0.130108984,0.130186661,0.126111707,0.126111707,0.127178714,0.124379359,0.12418314,0.12418314,0.12418314,0.12418314,0.12418314,0.121268923,0.121268923,0.121268923,0.120749923,0.120749923,0.120749923,0.121016728,0.121016728,0.121016728
Occupy-Europe-South-America-North-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.075749497,0.075749497,0.07635115,0.003261292,0.003271361,0.003207848,0.0033016,0.0033016,0.003264249,0.00268904,0.0027955,0.0027955,0.0027955,0.0027955,0.0027955,0.002299463,0.002299463,0.002299463,0.002584683,0.002584683,0.002584683,0.002438058,0.002438058,0.002438058
Occupy-Europe-South-America-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.075749497,0.075749497,0.07635115,0.004609641,0.004623873,0.004626634,0.004761851,0.004761851,0.00470798,0.003758815,0.003907627,0.003907627,0.003907627,0.003907627,0.003907627,0.003115174,0.003115174,0.003115174,0.003501573,0.003501573,0.003501573,0.003302934,0.003302934,0.003302934
Occupy-Asia-Africa,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.091365877,0.091365877,0.091365877,0.091365877,0.091365877,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.093720859,0.093720859,0.093720859,0.093720859,0.093720859,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.098501005,0.098501005,0.098501005,0.098501005,0.0972977,0.415903418,0.417187544,0.41743661,0.421043806,0.421043806,0.424606178,0.427594548,0.426919982,0.426919982,0.426919982,0.426919982,0.426919982,0.429284622,0.429284622,0.429284622,0.427447393,0.427447393,0.427447393,0.428391868,0.428391868,0.428391868
Occupy-Europe-Australia-South-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.075749497,0.075749497,0.07635115,0.002519719,0.002476949,0.002478428,0.002550862,0.002550862,0.002522004,0.002077589,0.002159842,0.002159842,0.002159842,0.002159842,0.002159842,0.001776597,0.001776597,0.001776597,0.001996962,0.001996962,0.001996962,0.001883677,0.001883677,0.001883677
Occupy-Europe-South-America-Australia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.075749497,0.075749497,0.07635115,0.002519719,0.002476949,0.002478428,0.002550862,0.002550862,0.002522004,0.002077589,0.002159842,0.002159842,0.002159842,0.002159842,0.002159842,0.001776597,0.001776597,0.001776597,0.001996962,0.001996962,0.001996962,0.001883677,0.001883677,0.001883677
Occupy-North-America-Australia,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.075749497,0.075749497,0.07635115,0.00863691,0.008490306,0.008325468,0.008922101,0.008922101,0.00900119,0.00788164,0.008193675,0.008193675,0.008193675,0.008193675,0.008193675,0.007163882,0.007163882,0.007163882,0.008052472,0.008052472,0.008052472,0.007595669,0.007595669,0.007595669
Occupy-Europe-Australia-North-America,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.075749497,0.075749497,0.07635115,0.003261292,0.003205934,0.003143691,0.003235568,0.003235568,0.003264249,0.00268904,0.0027955,0.0027955,0.0027955,0.0027955,0.0027955,0.002299463,0.002299463,0.002299463,0.002584683,0.002584683,0.002584683,0.002438058,0.002438058,0.002438058
Occupy-Europe-Australia-Africa,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081059199,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.080481822,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.07990108,0.079317061,0.079317061,0.079317061,0.079317061,0.079317061,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07872986,0.07813957,0.07813957,0.07813957,0.07813957,0.07813957,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.077546289,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.076950115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.07635115,0.075749497,0.075749497,0.075749497,0.075749497,0.07635115,0.004609641,0.004531396,0.004534101,0.004666614,0.004666614,0.00470798,0.003758815,0.003907627,0.003907627,0.003907627,0.003907627,0.003907627,0.003115174,0.003115174,0.003115174,0.003501573,0.003501573,0.003501573,0.003302934,0.003302934,0.003302934
Occupy-Asia-South-America,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087881603,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.089036356,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.090197841,0.091365877,0.091365877,0.091365877,0.091365877,0.091365877,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.09254028,0.093720859,0.093720859,0.093720859,0.093720859,0.093720859,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.094907422,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.09609977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.0972977,0.098501005,0.098501005,0.098501005,0.098501005,0.0972977,0.275147649,0.275997183,0.276161957,0.278548356,0.278548356,0.275287004,0.285325862,0.284875737,0.284875737,0.284875737,0.284875737,0.284875737,0.294824716,0.294824716,0.294824716,0.293562942,0.293562942,0.293562942,0.29421159,0.29421159,0.29421159
