s0914007
Conquer the continents of NORTH AMERICA and AUSTRALIA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.0830338446388391, 0.0830338446388391, 0.0830338446388391, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08469384239907024, 0.08469384239907024, 0.08469384239907024, 0.08552316421400924, 0.08552316421400924, 0.08552316421400924, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.087179610882953, 0.087179610882953, 0.08800640033764615, 0.08800640033764615, 0.08800640033764615, 0.08883201155171579, 0.08883201155171579, 0.08883201155171579, 0.0896562789442635, 0.0896562789442635, 0.0896562789442635, 0.09047903802041317, 0.09047903802041317, 0.09047903802041317, 0.09130012550107863, 0.09130012550107863, 0.09130012550107863, 0.09211937945065854, 0.09211937945065854, 0.09211937945065854, 0.09293663940244985, 0.09293663940244985, 0.09293663940244985, 0.09375174648157758, 0.09375174648157758, 0.09375174648157758, 0.09456454352524682, 0.09456454352524682, 0.09456454352524682, 0.09537487520012859, 0.09537487520012859, 0.09537487520012859, 0.09618258811670186, 0.09618258811670186, 0.09618258811670186, 0.09698753094037987, 0.09698753094037987, 0.09698753094037987, 0.09778955449926068, 0.0984770862509191, 0.09602779513331147, 0.21107995645153052, 0.2122800948684838, 0.21059517975143527, 0.27725484094177705, 0.2756857268347194, 0.27560094372827804, 0.34560958565734445, 0.34708788906352656
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08472841124772747, 0.08472841124772747, 0.08472841124772747, 0.08386401287159317, 0.08386401287159317, 0.08386401287159317, 0.0829999671664957, 0.0829999671664957, 0.0829999671664957, 0.08213645010833534, 0.08213645010833534, 0.08213645010833534, 0.08127363724216838, 0.08127363724216838, 0.08127363724216838, 0.07964816604749662, 0.08041170353975373, 0.08041170353975373, 0.07955082325808986, 0.07955082325808986, 0.07955082325808986, 0.07869116979918486, 0.07869116979918486, 0.07869116979918486, 0.07783291557129784, 0.07783291557129784, 0.07783291557129784, 0.07697623185188578, 0.07697623185188578, 0.07697623185188578, 0.0761212886524853, 0.0761212886524853, 0.0761212886524853, 0.07526825458575259, 0.07526825458575259, 0.07526825458575259, 0.07441729673487896, 0.07441729673487896, 0.07441729673487896, 0.07356858052559184, 0.07356858052559184, 0.07356858052559184, 0.07272226960094513, 0.07272226960094513, 0.07272226960094513, 0.0718785256990925, 0.0718785256990925, 0.0718785256990925, 0.07103750853423138, 0.07103750853423138, 0.07103750853423138, 0.07019937568089397, 0.07019937568089397, 0.07019937568089397, 0.06936428246175438, 0.06842754399649498, 0.06672563564308087, 0.019904386298217988, 0.01961720601829432, 0.01946149981797932, 0.01619670070778005, 0.016427136458465854, 0.01675722878947944, 0.010892462339281728, 0.010720272673882756
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08054300109705315, 0.08054300109705315, 0.08054300109705315, 0.07971317156957602, 0.07971317156957602, 0.07971317156957602, 0.07888384975463707, 0.07888384975463707, 0.07888384975463707, 0.07805520424571491, 0.07805520424571491, 0.07805520424571491, 0.07805520424571491, 0.07722740308569331, 0.07722740308569331, 0.07640061363100016, 0.07640061363100016, 0.07640061363100016, 0.07557500241693048, 0.07557500241693048, 0.07557500241693048, 0.07475073502438277, 0.07475073502438277, 0.07475073502438277, 0.07392797594823312, 0.07392797594823312, 0.07392797594823312, 0.07310688846756769, 0.07310688846756769, 0.07310688846756769, 0.07228763451798775, 0.07228763451798775, 0.07228763451798775, 0.07147037456619648, 0.07147037456619648, 0.07147037456619648, 0.07065526748706871, 0.07065526748706871, 0.07065526748706871, 0.0698424704433995, 0.0698424704433995, 0.0698424704433995, 0.06903213876851769, 0.06903213876851769, 0.06903213876851769, 0.06822442585194445, 0.06822442585194445, 0.06822442585194445, 0.0674194830282664, 0.0674194830282664, 0.0674194830282664, 0.06661745946938559, 0.06708582870201531, 0.0654172910694281, 0.01951410457884313, 0.019625056025731887, 0.020255845976316994, 0.01040632799607677, 0.010347433745553145, 0.009934619569468053, 0.007486763762702992, 0.007518787493614952
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08054300109705315, 0.08054300109705315, 0.08054300109705315, 0.07971317156957602, 0.07971317156957602, 0.07971317156957602, 0.07888384975463707, 0.07888384975463707, 0.07888384975463707, 0.07805520424571491, 0.07805520424571491, 0.07805520424571491, 0.07649410164958548, 0.07722740308569331, 0.07722740308569331, 0.07640061363100016, 0.07640061363100016, 0.07640061363100016, 0.07557500241693048, 0.07557500241693048, 0.07557500241693048, 0.07475073502438277, 0.07475073502438277, 0.07475073502438277, 0.07392797594823312, 0.07392797594823312, 0.07392797594823312, 0.07310688846756769, 0.07310688846756769, 0.07310688846756769, 0.07228763451798775, 0.07228763451798775, 0.07228763451798775, 0.07147037456619648, 0.07147037456619648, 0.07147037456619648, 0.07065526748706871, 0.07065526748706871, 0.07065526748706871, 0.0698424704433995, 0.0698424704433995, 0.0698424704433995, 0.06903213876851769, 0.06903213876851769, 0.06903213876851769, 0.06822442585194445, 0.06822442585194445, 0.06822442585194445, 0.0674194830282664, 0.0674194830282664, 0.0674194830282664, 0.06661745946938559, 0.06708582870201531, 0.07092318318601668, 0.059791286299270226, 0.060131241929795874, 0.06206398459691406, 0.07560020061568003, 0.0751723439157591, 0.07072985422381536, 0.09476721592243657, 0.09517257128266501
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.0830338446388391, 0.0830338446388391, 0.0830338446388391, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08469384239907024, 0.08469384239907024, 0.08469384239907024, 0.08552316421400924, 0.08552316421400924, 0.08552316421400924, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.087179610882953, 0.087179610882953, 0.08800640033764615, 0.08800640033764615, 0.08800640033764615, 0.08883201155171579, 0.08883201155171579, 0.08883201155171579, 0.0896562789442635, 0.0896562789442635, 0.0896562789442635, 0.09047903802041317, 0.09047903802041317, 0.09047903802041317, 0.09130012550107863, 0.09130012550107863, 0.09130012550107863, 0.09211937945065854, 0.09211937945065854, 0.09211937945065854, 0.09293663940244985, 0.09293663940244985, 0.09293663940244985, 0.09375174648157758, 0.09375174648157758, 0.09375174648157758, 0.09456454352524682, 0.09456454352524682, 0.09456454352524682, 0.09537487520012859, 0.09537487520012859, 0.09537487520012859, 0.09618258811670186, 0.09618258811670186, 0.09618258811670186, 0.09698753094037987, 0.09698753094037987, 0.09698753094037987, 0.09778955449926068, 0.0984770862509191, 0.09602779513331147, 0.10913657667736988, 0.10975709508455155, 0.1088859282008837, 0.07326159781739348, 0.07284697635848451, 0.0743107876742462, 0.05600086731526975, 0.05624040428512508
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.0830338446388391, 0.0830338446388391, 0.0830338446388391, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08469384239907024, 0.08469384239907024, 0.08469384239907024, 0.08552316421400924, 0.08552316421400924, 0.08552316421400924, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.087179610882953, 0.087179610882953, 0.08800640033764615, 0.08800640033764615, 0.08800640033764615, 0.08883201155171579, 0.08883201155171579, 0.08883201155171579, 0.0896562789442635, 0.0896562789442635, 0.0896562789442635, 0.09047903802041317, 0.09047903802041317, 0.09047903802041317, 0.09130012550107863, 0.09130012550107863, 0.09130012550107863, 0.09211937945065854, 0.09211937945065854, 0.09211937945065854, 0.09293663940244985, 0.09293663940244985, 0.09293663940244985, 0.09375174648157758, 0.09375174648157758, 0.09375174648157758, 0.09456454352524682, 0.09456454352524682, 0.09456454352524682, 0.09537487520012859, 0.09537487520012859, 0.09537487520012859, 0.09618258811670186, 0.09618258811670186, 0.09618258811670186, 0.09698753094037987, 0.09698753094037987, 0.09698753094037987, 0.09778955449926068, 0.0984770862509191, 0.09602779513331147, 0.10913657667736988, 0.10975709508455155, 0.1088859282008837, 0.07326159781739348, 0.07284697635848451, 0.0743107876742462, 0.05600086731526975, 0.05624040428512508
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08645756081497996, 0.08645756081497996, 0.08645756081497996, 0.08732195919111424, 0.08732195919111424, 0.08732195919111424, 0.08818600489621167, 0.08818600489621167, 0.08818600489621167, 0.08904952195437207, 0.08904952195437207, 0.08904952195437207, 0.08991233482053902, 0.08991233482053902, 0.08991233482053902, 0.08991233482053902, 0.09077426852295367, 0.09077426852295367, 0.09163514880461754, 0.09163514880461754, 0.09163514880461754, 0.0924948022635225, 0.0924948022635225, 0.0924948022635225, 0.09335305649140954, 0.09335305649140954, 0.09335305649140954, 0.09420974021082162, 0.09420974021082162, 0.09420974021082162, 0.09506468341022213, 0.09506468341022213, 0.09506468341022213, 0.09591771747695481, 0.09591771747695481, 0.09591771747695481, 0.09676867532782849, 0.09676867532782849, 0.09676867532782849, 0.09761739153711556, 0.09761739153711556, 0.09761739153711556, 0.0984637024617623, 0.0984637024617623, 0.0984637024617623, 0.09930744636361488, 0.09930744636361488, 0.09930744636361488, 0.10014846352847603, 0.10014846352847603, 0.10014846352847603, 0.10098659638181343, 0.10098659638181343, 0.10098659638181343, 0.101821689600953, 0.10044662609763617, 0.10619224061140597, 0.14279787882995812, 0.14073759250912016, 0.1396205264116015, 0.15677921902592445, 0.1590097681778773, 0.16220496322385958, 0.12146166933669364, 0.11954158519497834
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08645756081497996, 0.08645756081497996, 0.08645756081497996, 0.08732195919111424, 0.08732195919111424, 0.08732195919111424, 0.08818600489621167, 0.08818600489621167, 0.08818600489621167, 0.08904952195437207, 0.08904952195437207, 0.08904952195437207, 0.08991233482053902, 0.08991233482053902, 0.08991233482053902, 0.08991233482053902, 0.09077426852295367, 0.09077426852295367, 0.09163514880461754, 0.09163514880461754, 0.09163514880461754, 0.0924948022635225, 0.0924948022635225, 0.0924948022635225, 0.09335305649140954, 0.09335305649140954, 0.09335305649140954, 0.09420974021082162, 0.09420974021082162, 0.09420974021082162, 0.09506468341022213, 0.09506468341022213, 0.09506468341022213, 0.09591771747695481, 0.09591771747695481, 0.09591771747695481, 0.09676867532782849, 0.09676867532782849, 0.09676867532782849, 0.09761739153711556, 0.09761739153711556, 0.09761739153711556, 0.0984637024617623, 0.0984637024617623, 0.0984637024617623, 0.09930744636361488, 0.09930744636361488, 0.09930744636361488, 0.10014846352847603, 0.10014846352847603, 0.10014846352847603, 0.10098659638181343, 0.10098659638181343, 0.10098659638181343, 0.101821689600953, 0.10044662609763617, 0.09794834920439291, 0.09312612130167523, 0.09178249858540918, 0.09105400013885041, 0.08741876686692597, 0.08866250221342965, 0.09044411595378703, 0.06296593283464746, 0.061970557999406393
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.0830338446388391, 0.0830338446388391, 0.0830338446388391, 0.08386401287159316, 0.08386401287159316, 0.08386401287159316, 0.08469384239907024, 0.08469384239907024, 0.08469384239907024, 0.08552316421400924, 0.08552316421400924, 0.08552316421400924, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.08635180972293141, 0.087179610882953, 0.087179610882953, 0.08800640033764615, 0.08800640033764615, 0.08800640033764615, 0.08883201155171579, 0.08883201155171579, 0.08883201155171579, 0.0896562789442635, 0.0896562789442635, 0.0896562789442635, 0.09047903802041317, 0.09047903802041317, 0.09047903802041317, 0.09130012550107863, 0.09130012550107863, 0.09130012550107863, 0.09211937945065854, 0.09211937945065854, 0.09211937945065854, 0.09293663940244985, 0.09293663940244985, 0.09293663940244985, 0.09375174648157758, 0.09375174648157758, 0.09375174648157758, 0.09456454352524682, 0.09456454352524682, 0.09456454352524682, 0.09537487520012859, 0.09537487520012859, 0.09537487520012859, 0.09618258811670186, 0.09618258811670186, 0.09618258811670186, 0.09698753094037987, 0.09698753094037987, 0.09698753094037987, 0.09778955449926068, 0.0984770862509191, 0.09602779513331147, 0.09130012063047722, 0.09181922620583896, 0.09477048632378218, 0.05722984246404738, 0.056905952165685086, 0.05463567101817733, 0.04395299059716716, 0.04414099422440481
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08137316932980722, 0.08137316932980722, 0.08137316932980722, 0.08054300109705315, 0.08054300109705315, 0.08054300109705315, 0.07971317156957602, 0.07971317156957602, 0.07971317156957602, 0.07888384975463707, 0.07888384975463707, 0.07888384975463707, 0.07805520424571491, 0.07805520424571491, 0.07805520424571491, 0.07805520424571491, 0.07722740308569331, 0.07722740308569331, 0.07640061363100016, 0.07640061363100016, 0.07640061363100016, 0.07557500241693048, 0.07557500241693048, 0.07557500241693048, 0.07475073502438277, 0.07475073502438277, 0.07475073502438277, 0.07392797594823312, 0.07392797594823312, 0.07392797594823312, 0.07310688846756769, 0.07310688846756769, 0.07310688846756769, 0.07228763451798775, 0.07228763451798775, 0.07228763451798775, 0.07147037456619648, 0.07147037456619648, 0.07147037456619648, 0.07065526748706871, 0.07065526748706871, 0.07065526748706871, 0.0698424704433995, 0.0698424704433995, 0.0698424704433995, 0.06903213876851769, 0.06903213876851769, 0.06903213876851769, 0.06822442585194445, 0.06822442585194445, 0.06822442585194445, 0.0674194830282664, 0.0674194830282664, 0.0674194830282664, 0.06661745946938559, 0.06708582870201531, 0.07092318318601668, 0.07164474827057635, 0.07205209919208466, 0.07148020538725555, 0.0960263494140524, 0.09548289163707357, 0.09545352727259253, 0.12134867605326714, 0.12186773040994546
