s0914007
Conquer the continents of ASIA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08055943841254413, 0.08163312201511416, 0.08163312201511416, 0.08000046113184012, 0.08105919859403225, 0.08105919859403225, 0.07943801616823312, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.0777307217818753, 0.07872986021534303, 0.07872986021534303, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07657678044940486, 0.07754628891672168, 0.07754628891672168, 0.07599536461746532, 0.07695011504347733, 0.07695011504347733, 0.07775746954305955, 0.07775746954305955, 0.07775746954305955, 0.07856528427116816, 0.07856528427116816, 0.07856528427116816, 0.07937339465425387, 0.07937339465425387, 0.07937339465425387, 0.08018163587759734, 0.08018163587759734, 0.08018163587759734, 0.08098984301970841, 0.08098984301970841, 0.08098984301970841, 0.08179785118691105, 0.08179785118691105, 0.08179785118691105, 0.08260549564787988, 0.08260549564787988, 0.08260549564787988, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.08421903614258407, 0.08421903614258407, 0.08502460473091775, 0.08502460473091775, 0.08723422297614836, 0.016549523785119032, 0.016549523785119032, 0.016711232387937997, 0.00924358565501168, 0.00924358565501168, 0.009299618541908592, 0.005691175619021458, 0.005650521373389721, 0.005748652584309847, 0.0013221833848470574, 0.0013322837608796406, 0.001330960657250837, 6.558024002377833E-4, 6.686729996189574E-4, 6.648516528576448E-4, 5.653399646574917E-4, 5.581012612221212E-4
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08000046113184012, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07657678044940486, 0.07754628891672168, 0.07754628891672168, 0.07754628891672168, 0.07695011504347733, 0.07695011504347733, 0.0762023216353044, 0.0762023216353044, 0.0762023216353044, 0.07545410195111713, 0.07545410195111713, 0.07545410195111713, 0.07470560842335411, 0.07470560842335411, 0.07470560842335411, 0.07395699370783247, 0.07395699370783247, 0.07395699370783247, 0.07320841055926307, 0.07320841055926307, 0.07320841055926307, 0.07246001170659461, 0.07246001170659461, 0.07246001170659461, 0.07171194972840239, 0.07171194972840239, 0.07171194972840239, 0.0709643769285375, 0.0709643769285375, 0.0709643769285375, 0.0709643769285375, 0.07021744521225215, 0.07021744521225215, 0.06947130596301421, 0.06947130596301421, 0.06574338708044772, 0.024247244862619317, 0.024247244862619317, 0.024973852310048297, 0.016182042698310813, 0.016182042698310813, 0.015954532819961894, 0.017079614582679453, 0.01729676020256611, 0.017597148770542557, 0.010424910345450981, 0.010294457189172771, 0.010284233666179015, 0.008072131211187186, 0.00823055266090099, 0.008183516522500803, 0.01009137064542227, 0.010165468291689845
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.09254027956931393, 0.09254027956931393, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.09609976991304531, 0.09609976991304531, 0.09516588210238631, 0.09516588210238631, 0.09516588210238631, 0.0942314619334992, 0.0942314619334992, 0.0942314619334992, 0.09329669977286059, 0.09329669977286059, 0.09329669977286059, 0.0923617862659152, 0.0923617862659152, 0.0923617862659152, 0.0914269121816119, 0.0914269121816119, 0.0914269121816119, 0.0904922682567264, 0.0904922682567264, 0.0904922682567264, 0.0895580450402393, 0.0895580450402393, 0.0895580450402393, 0.08862443273803967, 0.08862443273803967, 0.08862443273803967, 0.08685194577365579, 0.08769162105822319, 0.08769162105822319, 0.08675979905725091, 0.08675979905725091, 0.08901451150850129, 0.19219633467374295, 0.19219633467374295, 0.19019283954727215, 0.2094923835819489, 0.2094923835819489, 0.21076228721816906, 0.26520286060635245, 0.2685745783511125, 0.2624185986873185, 0.34329958985247594, 0.3390036761648525, 0.33189367469289427, 0.3759051283090021, 0.3756168965363796, 0.37347031306150996, 0.4415489098655832, 0.4447910596272605
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.09254027956931393, 0.09254027956931393, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.09609976991304531, 0.09609976991304531, 0.09516588210238631, 0.09516588210238631, 0.09516588210238631, 0.0942314619334992, 0.0942314619334992, 0.0942314619334992, 0.09329669977286059, 0.09329669977286059, 0.09329669977286059, 0.0923617862659152, 0.0923617862659152, 0.0923617862659152, 0.0914269121816119, 0.0914269121816119, 0.0914269121816119, 0.0904922682567264, 0.0904922682567264, 0.0904922682567264, 0.0895580450402393, 0.0895580450402393, 0.0895580450402393, 0.08862443273803967, 0.08862443273803967, 0.08862443273803967, 0.08685194577365579, 0.08769162105822319, 0.08769162105822319, 0.08675979905725091, 0.08675979905725091, 0.08901451150850129, 0.1607557401850507, 0.1607557401850507, 0.15907998844629004, 0.16965978489832903, 0.16965978489832903, 0.17068823077344333, 0.14733740018811808, 0.14628491274809438, 0.1488254067447933, 0.05714890370715047, 0.05758547356871992, 0.059900335953636884, 0.03632993126278276, 0.03630207465828728, 0.03683123886022359, 0.01751462365253098, 0.017643227826682848
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08000046113184012, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07657678044940486, 0.07754628891672168, 0.07754628891672168, 0.07599536461746532, 0.07695011504347733, 0.07695011504347733, 0.07775746954305955, 0.07775746954305955, 0.07775746954305955, 0.07856528427116816, 0.07856528427116816, 0.07856528427116816, 0.07937339465425387, 0.07937339465425387, 0.07937339465425387, 0.08018163587759734, 0.08018163587759734, 0.08018163587759734, 0.08098984301970841, 0.08098984301970841, 0.08098984301970841, 0.08179785118691105, 0.08179785118691105, 0.08179785118691105, 0.08260549564787988, 0.08260549564787988, 0.08260549564787988, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.08421903614258407, 0.08421903614258407, 0.08502460473091775, 0.08502460473091775, 0.08723422297614836, 0.03682713901108224, 0.03682713901108224, 0.0371869841203812, 0.02468335536161259, 0.02468335536161259, 0.024832981243908998, 0.025698014994150316, 0.02602473263574279, 0.026476697748103014, 0.010864006662994065, 0.010728058831113333, 0.010717404694219782, 0.007636749859012557, 0.007786626632830327, 0.007742127452391051, 0.008770379438940186, 0.00865808209620302
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08055943841254413, 0.08163312201511416, 0.08163312201511416, 0.08000046113184012, 0.08105919859403225, 0.08105919859403225, 0.07943801616823312, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.0777307217818753, 0.07872986021534303, 0.07872986021534303, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07657678044940486, 0.07754628891672168, 0.07754628891672168, 0.07599536461746532, 0.07695011504347733, 0.07695011504347733, 0.07775746954305955, 0.07775746954305955, 0.07775746954305955, 0.07856528427116816, 0.07856528427116816, 0.07856528427116816, 0.07937339465425387, 0.07937339465425387, 0.07937339465425387, 0.08018163587759734, 0.08018163587759734, 0.08018163587759734, 0.08098984301970841, 0.08098984301970841, 0.08098984301970841, 0.08179785118691105, 0.08179785118691105, 0.08179785118691105, 0.08260549564787988, 0.08260549564787988, 0.08260549564787988, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.08421903614258407, 0.08421903614258407, 0.08502460473091775, 0.08502460473091775, 0.08723422297614836, 0.03682713901108224, 0.03682713901108224, 0.0371869841203812, 0.02468335536161259, 0.02468335536161259, 0.024832981243908998, 0.025698014994150316, 0.02602473263574279, 0.026476697748103014, 0.010864006662994065, 0.010728058831113333, 0.010717404694219782, 0.007636749859012557, 0.007786626632830327, 0.007742127452391051, 0.008770379438940186, 0.00865808209620302
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08000046113184012, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07754628891672168, 0.07754628891672168, 0.07754628891672168, 0.07695011504347733, 0.07695011504347733, 0.07775746954305955, 0.07775746954305955, 0.07775746954305955, 0.07856528427116816, 0.07856528427116816, 0.07856528427116816, 0.07937339465425387, 0.07937339465425387, 0.07937339465425387, 0.08018163587759734, 0.08018163587759734, 0.08018163587759734, 0.08098984301970841, 0.08098984301970841, 0.08098984301970841, 0.08179785118691105, 0.08179785118691105, 0.08179785118691105, 0.08260549564787988, 0.08260549564787988, 0.08260549564787988, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.08421903614258407, 0.08421903614258407, 0.08502460473091775, 0.08502460473091775, 0.0804620759995896, 0.026040998101982012, 0.026040998101982012, 0.026821358232239714, 0.016955269807110485, 0.016955269807110485, 0.016716888816335353, 0.012568768228912345, 0.012478984707005421, 0.01269570415631485, 0.008342045201936524, 0.00840577145533375, 0.008397423604041093, 0.006282776269640631, 0.006406080326379022, 0.0063694707215021, 0.007215416614659465, 0.0071230292649206075
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.09254027956931393, 0.09254027956931393, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.09609976991304531, 0.09609976991304531, 0.09710804107163001, 0.09710804107163001, 0.09710804107163001, 0.0981168869903105, 0.0981168869903105, 0.0981168869903105, 0.09912610214008646, 0.09912610214008646, 0.09912610214008646, 0.10013548069077038, 0.10013548069077038, 0.10013548069077038, 0.10114481667883317, 0.10114481667883317, 0.10114481667883317, 0.10215390417548165, 0.10215390417548165, 0.10215390417548165, 0.10316253745467553, 0.10316253745467553, 0.10316253745467553, 0.10417051116079283, 0.10417051116079283, 0.10417051116079283, 0.10417051116079283, 0.10517762047565404, 0.10517762047565404, 0.10618366128461584, 0.10618366128461584, 0.10894316079728522, 0.21880189956132048, 0.21880189956132048, 0.2165210624153999, 0.23470663401522368, 0.23470663401522368, 0.23612938172034173, 0.20867893932940507, 0.20718826579803257, 0.2024393176337651, 0.2906662685189471, 0.2928867158832655, 0.2867439359446952, 0.3111779766271627, 0.31093937551999556, 0.3091624125256995, 0.3353466525018139, 0.3310528202641167
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08055943841254413, 0.08163312201511416, 0.08163312201511416, 0.08000046113184012, 0.08105919859403225, 0.08105919859403225, 0.07943801616823312, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07657678044940486, 0.07754628891672168, 0.07754628891672168, 0.07599536461746532, 0.07695011504347733, 0.07695011504347733, 0.07775746954305955, 0.07775746954305955, 0.07775746954305955, 0.07856528427116816, 0.07856528427116816, 0.07856528427116816, 0.07937339465425387, 0.07937339465425387, 0.07937339465425387, 0.08018163587759734, 0.08018163587759734, 0.08018163587759734, 0.08098984301970841, 0.08098984301970841, 0.08098984301970841, 0.08179785118691105, 0.08179785118691105, 0.08179785118691105, 0.08260549564787988, 0.08260549564787988, 0.08260549564787988, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.0834126119678951, 0.08421903614258407, 0.08421903614258407, 0.08502460473091775, 0.08502460473091775, 0.0804620759995896, 0.04171264368825781, 0.04171264368825781, 0.04296262972698359, 0.03055394674194541, 0.03055394674194541, 0.030124376456170242, 0.025282971310037424, 0.025102365369411902, 0.02659132753319457, 0.0092481987268632, 0.009318847235864227, 0.009891278354246824, 0.005658503229783828, 0.005769555473784797, 0.005853656513368648, 0.0037897930836595832, 0.003741267966156789
Occupy-Asia-South-America, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08055943841254413, 0.08163312201511416, 0.08163312201511416, 0.08000046113184012, 0.08105919859403225, 0.08105919859403225, 0.07943801616823312, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.0777307217818753, 0.07872986021534303, 0.07872986021534303, 0.07813957036633758, 0.07813957036633758, 0.07813957036633758, 0.07657678044940486, 0.07754628891672168, 0.07754628891672168, 0.07599536461746532, 0.07695011504347733, 0.07695011504347733, 0.0762023216353044, 0.0762023216353044, 0.0762023216353044, 0.07545410195111713, 0.07545410195111713, 0.07545410195111713, 0.07470560842335411, 0.07470560842335411, 0.07470560842335411, 0.07395699370783247, 0.07395699370783247, 0.07395699370783247, 0.07320841055926307, 0.07320841055926307, 0.07320841055926307, 0.07246001170659461, 0.07246001170659461, 0.07246001170659461, 0.07171194972840239, 0.07171194972840239, 0.07171194972840239, 0.0709643769285375, 0.0709643769285375, 0.0709643769285375, 0.06954509074350483, 0.07021744521225215, 0.07021744521225215, 0.06947130596301421, 0.06947130596301421, 0.07127672529617875, 0.026288031207569004, 0.026288031207569004, 0.026544896652921555, 0.017200015669468566, 0.017200015669468566, 0.017304278946577913, 0.017598315002711525, 0.01782205524004099, 0.018879181353168205, 0.0018376072104228471, 0.001814612129155423, 0.0019260787541823254, 7.464895637610744E-4, 7.611399647262319E-4, 7.722348684138986E-4, 3.895930423869088E-4, 3.924536971440689E-4
