s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and SOUTH AMERICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-Australia-Asia,0.082491583,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.078288837,0.078288837,0.078288837,0.078288837,0.077450684,0.077450684,0.077450684,0.077450684,0.076613725,0.076613725,0.076613725,0.076613725,0.075778129,0.075778129,0.075778129,0.075778129,0.074944061,0.074944061,0.074944061,0.074944061,0.074111689,0.074111689,0.074111689,0.074111689,0.075113197,0.075113197,0.075113197,0.075113197,0.076121289,0.076121289,0.076121289,0.076121289,0.077135821,0.077135821,0.077135821,0.077135821,0.076271418,0.076271418,0.076271418,0.076271418,0.075409119,0.075409119,0.075409119,0.075409119,0.074549091,0.074549091,0.074549091,0.074549091,0.073691501,0.073691501,0.073691501,0.073691501,0.072836511,0.072836511,0.072836511,0.072836511,0.07380044,0.07380044,0.071878526,0.070619383,0.020132928,0.020010241,0.020308859,0.020287271,0.033626488,0.033626488,0.033626488,0.033370848,0.027574923,0.027377987,0.027377987,0.038515541
Occupy-Europe-South-America-North-America,0.084175083,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.08837783,0.08837783,0.08837783,0.08837783,0.089215983,0.089215983,0.089215983,0.089215983,0.090052942,0.090052942,0.090052942,0.090052942,0.090888538,0.090888538,0.090888538,0.090888538,0.091722605,0.091722605,0.091722605,0.091722605,0.092554978,0.092554978,0.092554978,0.092554978,0.091929607,0.091929607,0.091929607,0.091929607,0.091300126,0.091300126,0.091300126,0.091300126,0.090666622,0.090666622,0.090666622,0.090666622,0.091480191,0.091480191,0.091480191,0.091480191,0.092291781,0.092291781,0.092291781,0.092291781,0.093101232,0.093101232,0.093101232,0.093101232,0.093908389,0.093908389,0.093908389,0.093908389,0.094713098,0.094713098,0.094713098,0.094713098,0.094047216,0.094047216,0.095374875,0.095578212,0.147330685,0.146432878,0.145704056,0.145549176,0.101709161,0.101709161,0.101709161,0.100935934,0.070416722,0.069913817,0.069913817,0.029479917
Occupy-Asia-Africa,0.082491583,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.078288837,0.078288837,0.078288837,0.078288837,0.077450684,0.077450684,0.077450684,0.077450684,0.076613725,0.076613725,0.076613725,0.076613725,0.075778129,0.075778129,0.075778129,0.075778129,0.074944061,0.074944061,0.074944061,0.074944061,0.074111689,0.074111689,0.074111689,0.074111689,0.075113197,0.075113197,0.075113197,0.075113197,0.076121289,0.076121289,0.076121289,0.076121289,0.077135821,0.077135821,0.077135821,0.077135821,0.076271418,0.076271418,0.076271418,0.076271418,0.075409119,0.075409119,0.075409119,0.075409119,0.074549091,0.074549091,0.074549091,0.074549091,0.073691501,0.073691501,0.073691501,0.073691501,0.072836511,0.072836511,0.072836511,0.072836511,0.07380044,0.07380044,0.071878526,0.072031769,0.040172253,0.040742296,0.041350303,0.041306349,0.068465956,0.068465956,0.068465956,0.069332096,0.114728648,0.116187458,0.116187458,0.163453316
Occupy-Europe-South-America-Africa,0.084175083,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.08837783,0.08837783,0.08837783,0.08837783,0.089215983,0.089215983,0.089215983,0.089215983,0.090052942,0.090052942,0.090052942,0.090052942,0.090888538,0.090888538,0.090888538,0.090888538,0.091722605,0.091722605,0.091722605,0.091722605,0.092554978,0.092554978,0.092554978,0.092554978,0.091929607,0.091929607,0.091929607,0.091929607,0.091300126,0.091300126,0.091300126,0.091300126,0.090666622,0.090666622,0.090666622,0.090666622,0.091480191,0.091480191,0.091480191,0.091480191,0.092291781,0.092291781,0.092291781,0.092291781,0.093101232,0.093101232,0.093101232,0.093101232,0.093908389,0.093908389,0.093908389,0.093908389,0.094713098,0.094713098,0.094713098,0.094713098,0.094047216,0.094047216,0.095374875,0.095539981,0.163291123,0.165608218,0.164783956,0.167900967,0.108524615,0.108524615,0.108524615,0.107699575,0.137629997,0.139380005,0.139380005,0.052593595
Occupy-Europe-South-America-Australia,0.084175083,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.08837783,0.08837783,0.08837783,0.08837783,0.089215983,0.089215983,0.089215983,0.089215983,0.090052942,0.090052942,0.090052942,0.090052942,0.090888538,0.090888538,0.090888538,0.090888538,0.091722605,0.091722605,0.091722605,0.091722605,0.092554978,0.092554978,0.092554978,0.092554978,0.091929607,0.091929607,0.091929607,0.091929607,0.091300126,0.091300126,0.091300126,0.091300126,0.090666622,0.090666622,0.090666622,0.090666622,0.091480191,0.091480191,0.091480191,0.091480191,0.092291781,0.092291781,0.092291781,0.092291781,0.093101232,0.093101232,0.093101232,0.093101232,0.093908389,0.093908389,0.093908389,0.093908389,0.094713098,0.094713098,0.094713098,0.094713098,0.094047216,0.094047216,0.095374875,0.095578212,0.116193875,0.115485811,0.114911017,0.11478887,0.093315602,0.093315602,0.093315602,0.092606186,0.075157817,0.074621052,0.074621052,0.039035724
Occupy-Europe-Australia-South-America,0.084175083,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.08837783,0.08837783,0.08837783,0.08837783,0.089215983,0.089215983,0.089215983,0.089215983,0.090052942,0.090052942,0.090052942,0.090052942,0.090888538,0.090888538,0.090888538,0.090888538,0.091722605,0.091722605,0.091722605,0.091722605,0.092554978,0.092554978,0.092554978,0.092554978,0.091929607,0.091929607,0.091929607,0.091929607,0.091300126,0.091300126,0.091300126,0.091300126,0.090666622,0.090666622,0.090666622,0.090666622,0.091480191,0.091480191,0.091480191,0.091480191,0.092291781,0.092291781,0.092291781,0.092291781,0.093101232,0.093101232,0.093101232,0.093101232,0.093908389,0.093908389,0.093908389,0.093908389,0.094713098,0.094713098,0.094713098,0.094713098,0.094047216,0.094047216,0.095374875,0.095578212,0.116193875,0.115485811,0.114911017,0.11478887,0.093315602,0.093315602,0.093315602,0.092606186,0.075157817,0.074621052,0.074621052,0.039035724
Occupy-Europe-Australia-North-America,0.082491583,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.078288837,0.078288837,0.078288837,0.078288837,0.077450684,0.077450684,0.077450684,0.077450684,0.076613725,0.076613725,0.076613725,0.076613725,0.075778129,0.075778129,0.075778129,0.075778129,0.074944061,0.074944061,0.074944061,0.074944061,0.074111689,0.074111689,0.074111689,0.074111689,0.073610934,0.073610934,0.073610934,0.073610934,0.073106888,0.073106888,0.073106888,0.073106888,0.072599622,0.072599622,0.072599622,0.072599622,0.071786053,0.071786053,0.071786053,0.071786053,0.070974464,0.070974464,0.070974464,0.070974464,0.070165012,0.070165012,0.070165012,0.070165012,0.069357855,0.069357855,0.069357855,0.069357855,0.068553146,0.068553146,0.068553146,0.068553146,0.068071182,0.068071182,0.069032139,0.067822858,0.039415555,0.038391857,0.038200774,0.038160167,0.026666167,0.026666167,0.026666167,0.026463442,0.018461897,0.018330045,0.018330045,0.007729062
Occupy-North-America-Australia,0.082491583,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.078288837,0.078288837,0.078288837,0.078288837,0.077450684,0.077450684,0.077450684,0.077450684,0.076613725,0.076613725,0.076613725,0.076613725,0.075778129,0.075778129,0.075778129,0.075778129,0.074944061,0.074944061,0.074944061,0.074944061,0.074111689,0.074111689,0.074111689,0.074111689,0.073610934,0.073610934,0.073610934,0.073610934,0.073106888,0.073106888,0.073106888,0.073106888,0.072599622,0.072599622,0.072599622,0.072599622,0.071786053,0.071786053,0.071786053,0.071786053,0.070974464,0.070974464,0.070974464,0.070974464,0.070165012,0.070165012,0.070165012,0.070165012,0.069357855,0.069357855,0.069357855,0.069357855,0.068553146,0.068553146,0.068553146,0.068553146,0.068071182,0.068071182,0.069032139,0.069206996,0.052153337,0.050798815,0.05054598,0.049502207,0.043307541,0.043307541,0.043307541,0.04385541,0.038303796,0.038030237,0.038030237,0.022090833
Occupy-Europe-Australia-Africa,0.082491583,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.078288837,0.078288837,0.078288837,0.078288837,0.077450684,0.077450684,0.077450684,0.077450684,0.076613725,0.076613725,0.076613725,0.076613725,0.075778129,0.075778129,0.075778129,0.075778129,0.074944061,0.074944061,0.074944061,0.074944061,0.074111689,0.074111689,0.074111689,0.074111689,0.073610934,0.073610934,0.073610934,0.073610934,0.073106888,0.073106888,0.073106888,0.073106888,0.072599622,0.072599622,0.072599622,0.072599622,0.071786053,0.071786053,0.071786053,0.071786053,0.070974464,0.070974464,0.070974464,0.070974464,0.070165012,0.070165012,0.070165012,0.070165012,0.069357855,0.069357855,0.069357855,0.069357855,0.068553146,0.068553146,0.068553146,0.068553146,0.068071182,0.068071182,0.069032139,0.067795729,0.045121289,0.044846328,0.044623119,0.045467199,0.029388218,0.029388218,0.029388218,0.029164799,0.037269889,0.037743788,0.037743788,0.014242226
Occupy-Asia-South-America,0.084175083,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.08837783,0.08837783,0.08837783,0.08837783,0.089215983,0.089215983,0.089215983,0.089215983,0.090052942,0.090052942,0.090052942,0.090052942,0.090888538,0.090888538,0.090888538,0.090888538,0.091722605,0.091722605,0.091722605,0.091722605,0.092554978,0.092554978,0.092554978,0.092554978,0.09380572,0.09380572,0.09380572,0.09380572,0.095064683,0.095064683,0.095064683,0.095064683,0.096331691,0.096331691,0.096331691,0.096331691,0.097196094,0.097196094,0.097196094,0.097196094,0.098058393,0.098058393,0.098058393,0.098058393,0.098918421,0.098918421,0.098918421,0.098918421,0.099776011,0.099776011,0.099776011,0.099776011,0.100631,0.100631,0.100631,0.100631,0.101962765,0.101962765,0.099307446,0.101550169,0.105680641,0.107180245,0.108779724,0.106533427,0.212997317,0.212997317,0.212997317,0.215691875,0.222030783,0.220445076,0.220445076,0.405756061
