s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85
Occupy-Europe-Australia-Asia,0.083333333,0.083333333,0.083333333,0.083333333,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.087538651,0.08666915,0.08666915,0.08666915,0.08579953,0.08579953,0.08579953,0.08579953,0.08579953,0.084929969,0.084929969,0.084929969,0.084060645,0.084060645,0.084060645,0.084060645,0.083191736,0.083191736,0.083191736,0.083191736,0.082323417,0.082323417,0.082323417,0.082323417,0.083450423,0.083450423,0.083450423,0.083450423,0.082571044,0.082571044,0.082571044,0.082571044,0.082571044,0.083385295,0.083385295,0.083385295,0.082501008,0.082501008,0.082501008,0.082501008,0.083308902,0.083308902,0.083308902,0.083308902,0.08444785,0.08444785,0.08444785,0.08444785,0.083546703,0.083546703,0.083546703,0.083546703,0.084362083,0.084362083,0.084362083,0.080882863,0.080169334,0.079073472,0.080511404,0.081830885,0.073037208,0.073615314
Occupy-Europe-South-America-North-America,0.083333333,0.083333333,0.083333333,0.083333333,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.079128015,0.07994087,0.07994087,0.07994087,0.080753836,0.080753836,0.080753836,0.080753836,0.080753836,0.081566745,0.081566745,0.081566745,0.082379434,0.082379434,0.082379434,0.082379434,0.083191736,0.083191736,0.083191736,0.083191736,0.084003485,0.084003485,0.084003485,0.084003485,0.083450423,0.083450423,0.083450423,0.083450423,0.084256166,0.084256166,0.084256166,0.084256166,0.084256166,0.083385295,0.083385295,0.083385295,0.084184701,0.084184701,0.084184701,0.084184701,0.083308902,0.083308902,0.083308902,0.083308902,0.082758894,0.082758894,0.082758894,0.082758894,0.083546703,0.083546703,0.083546703,0.083546703,0.082674843,0.082674843,0.082674843,0.085867883,0.086847322,0.08744332,0.087252787,0.086978667,0.050549997,0.049951091
Occupy-Europe-South-America-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.079128015,0.07994087,0.07994087,0.07994087,0.080753836,0.080753836,0.080753836,0.080753836,0.080753836,0.081566745,0.081566745,0.081566745,0.082379434,0.082379434,0.082379434,0.082379434,0.083191736,0.083191736,0.083191736,0.083191736,0.084003485,0.084003485,0.084003485,0.084003485,0.083450423,0.083450423,0.083450423,0.083450423,0.084256166,0.084256166,0.084256166,0.084256166,0.084256166,0.083385295,0.083385295,0.083385295,0.084184701,0.084184701,0.084184701,0.084184701,0.083308902,0.083308902,0.083308902,0.083308902,0.082758894,0.082758894,0.082758894,0.082758894,0.083546703,0.083546703,0.083546703,0.083546703,0.082674843,0.082674843,0.082674843,0.085867883,0.086847322,0.08744332,0.085507733,0.085239096,0.074118308,0.073240169
Occupy-Asia-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.079128015,0.078342054,0.078342054,0.078342054,0.077555987,0.077555987,0.077555987,0.077555987,0.077555987,0.076769973,0.076769973,0.076769973,0.075984173,0.075984173,0.075984173,0.075984173,0.075198747,0.075198747,0.075198747,0.075198747,0.074413856,0.074413856,0.074413856,0.074413856,0.07543258,0.07543258,0.07543258,0.07543258,0.074637691,0.074637691,0.074637691,0.074637691,0.074637691,0.073866237,0.073866237,0.073866237,0.073082898,0.073082898,0.073082898,0.073082898,0.072322595,0.072322595,0.072322595,0.072322595,0.073311345,0.073311345,0.073311345,0.073311345,0.072529036,0.072529036,0.072529036,0.072529036,0.071772152,0.071772152,0.071772152,0.070216488,0.069597055,0.06864571,0.067126214,0.069618702,0.05293314,0.053352118
Occupy-Europe-Australia-South-America,0.083333333,0.083333333,0.083333333,0.083333333,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.087538651,0.088437906,0.088437906,0.088437906,0.089337283,0.089337283,0.089337283,0.089337283,0.089337283,0.090236598,0.090236598,0.090236598,0.091135668,0.091135668,0.091135668,0.091135668,0.092034311,0.092034311,0.092034311,0.092034311,0.092932342,0.092932342,0.092932342,0.092932342,0.092320495,0.092320495,0.092320495,0.092320495,0.093211881,0.093211881,0.093211881,0.093211881,0.093211881,0.094131063,0.094131063,0.094131063,0.095033487,0.095033487,0.095033487,0.095033487,0.095964106,0.095964106,0.095964106,0.095964106,0.095330548,0.095330548,0.095330548,0.095330548,0.096238031,0.096238031,0.096238031,0.096238031,0.097177273,0.097177273,0.097177273,0.098911815,0.100040037,0.100726571,0.102558258,0.100191334,0.109331487,0.10803615
Occupy-Europe-South-America-Australia,0.083333333,0.083333333,0.083333333,0.083333333,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.087538651,0.088437906,0.088437906,0.088437906,0.089337283,0.089337283,0.089337283,0.089337283,0.089337283,0.090236598,0.090236598,0.090236598,0.091135668,0.091135668,0.091135668,0.091135668,0.092034311,0.092034311,0.092034311,0.092034311,0.092932342,0.092932342,0.092932342,0.092932342,0.092320495,0.092320495,0.092320495,0.092320495,0.093211881,0.093211881,0.093211881,0.093211881,0.093211881,0.094131063,0.094131063,0.094131063,0.095033487,0.095033487,0.095033487,0.095033487,0.095964106,0.095964106,0.095964106,0.095964106,0.095330548,0.095330548,0.095330548,0.095330548,0.096238031,0.096238031,0.096238031,0.096238031,0.097177273,0.097177273,0.097177273,0.098911815,0.100040037,0.100726571,0.102558258,0.100191334,0.109331487,0.10803615
Occupy-North-America-Australia,0.083333333,0.083333333,0.083333333,0.083333333,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.087538651,0.08666915,0.08666915,0.08666915,0.08579953,0.08579953,0.08579953,0.08579953,0.08579953,0.084929969,0.084929969,0.084929969,0.084060645,0.084060645,0.084060645,0.084060645,0.083191736,0.083191736,0.083191736,0.083191736,0.082323417,0.082323417,0.082323417,0.082323417,0.081781416,0.081781416,0.081781416,0.081781416,0.080919625,0.080919625,0.080919625,0.080919625,0.080919625,0.081717591,0.081717591,0.081717591,0.08085099,0.08085099,0.08085099,0.08085099,0.081642726,0.081642726,0.081642726,0.081642726,0.081103718,0.081103718,0.081103718,0.081103718,0.080238257,0.080238257,0.080238257,0.080238257,0.081021348,0.081021348,0.081021348,0.077710989,0.075484934,0.076002956,0.075837351,0.074087114,0.118163474,0.119146424
Occupy-Europe-Australia-Africa,0.083333333,0.083333333,0.083333333,0.083333333,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.087538651,0.08666915,0.08666915,0.08666915,0.08579953,0.08579953,0.08579953,0.08579953,0.08579953,0.084929969,0.084929969,0.084929969,0.084060645,0.084060645,0.084060645,0.084060645,0.083191736,0.083191736,0.083191736,0.083191736,0.082323417,0.082323417,0.082323417,0.082323417,0.081781416,0.081781416,0.081781416,0.081781416,0.080919625,0.080919625,0.080919625,0.080919625,0.080919625,0.081717591,0.081717591,0.081717591,0.08085099,0.08085099,0.08085099,0.08085099,0.081642726,0.081642726,0.081642726,0.081642726,0.081103718,0.081103718,0.081103718,0.081103718,0.080238257,0.080238257,0.080238257,0.080238257,0.081021348,0.081021348,0.081021348,0.077710989,0.075484934,0.076002956,0.074320605,0.072605373,0.159017967,0.160340767
Occupy-Europe-Australia-North-America,0.083333333,0.083333333,0.083333333,0.083333333,0.084175083,0.084175083,0.084175083,0.085016662,0.085016662,0.085016662,0.085016662,0.085857897,0.085857897,0.085857897,0.085857897,0.086698617,0.086698617,0.086698617,0.086698617,0.087538651,0.087538651,0.087538651,0.087538651,0.087538651,0.08666915,0.08666915,0.08666915,0.08579953,0.08579953,0.08579953,0.08579953,0.08579953,0.084929969,0.084929969,0.084929969,0.084060645,0.084060645,0.084060645,0.084060645,0.083191736,0.083191736,0.083191736,0.083191736,0.082323417,0.082323417,0.082323417,0.082323417,0.081781416,0.081781416,0.081781416,0.081781416,0.080919625,0.080919625,0.080919625,0.080919625,0.080919625,0.081717591,0.081717591,0.081717591,0.08085099,0.08085099,0.08085099,0.08085099,0.081642726,0.081642726,0.081642726,0.081642726,0.081103718,0.081103718,0.081103718,0.081103718,0.080238257,0.080238257,0.080238257,0.080238257,0.081021348,0.081021348,0.081021348,0.077710989,0.075484934,0.076002956,0.075837351,0.074087114,0.108714333,0.10961868
Occupy-Asia-South-America,0.083333333,0.083333333,0.083333333,0.083333333,0.082491583,0.082491583,0.082491583,0.081650005,0.081650005,0.081650005,0.081650005,0.08080877,0.08080877,0.08080877,0.08080877,0.07996805,0.07996805,0.07996805,0.07996805,0.079128015,0.079128015,0.079128015,0.079128015,0.079128015,0.07994087,0.07994087,0.07994087,0.080753836,0.080753836,0.080753836,0.080753836,0.080753836,0.081566745,0.081566745,0.081566745,0.082379434,0.082379434,0.082379434,0.082379434,0.083191736,0.083191736,0.083191736,0.083191736,0.084003485,0.084003485,0.084003485,0.084003485,0.085153491,0.085153491,0.085153491,0.085153491,0.085975678,0.085975678,0.085975678,0.085975678,0.085975678,0.085087034,0.085087034,0.085087034,0.085902754,0.085902754,0.085902754,0.085902754,0.085009082,0.085009082,0.085009082,0.085009082,0.086171274,0.086171274,0.086171274,0.086171274,0.086991566,0.086991566,0.086991566,0.086991566,0.086083757,0.086083757,0.086083757,0.089372692,0.092236843,0.090976027,0.092630403,0.096069896,0.03427579,0.03385615
