arko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and SOUTH AMERICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92, Turn 93, Turn 94, Turn 95, Turn 96, Turn 97, Turn 98, Turn 99, Turn 100, Turn 101, Turn 102, Turn 103, Turn 104, Turn 105, Turn 106, Turn 107, Turn 108, Turn 109, Turn 110, Turn 111, Turn 112, Turn 113, Turn 114, Turn 115, Turn 116
Occupy-Europe-Australia-Asia,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.083321997,0.083321997,0.083321997,0.083321997,0.083321997,0.084448046,0.084448046,0.084448046,0.083869872,0.083869872,0.083869872,0.083869872,0.083288002,0.083288002,0.083288002,0.083288002,0.082702521,0.082702521,0.082702521,0.082702521,0.083824409,0.083824409,0.083824409,0.083824409,0.08323139,0.08323139,0.08323139,0.08323139,0.08323139,0.084356834,0.084356834,0.084356834,0.083756285,0.083756285,0.083756285,0.083756285,0.08315223,0.08315223,0.08315223,0.08315223,0.082544763,0.082544763,0.082544763,0.082544763,0.083665581,0.083665581,0.083665581,0.083665581,0.084793912,0.084793912,0.084793912,0.084793912,0.085929598,0.085929598,0.085929598,0.085929598,0.087072478,0.087072478,0.087072478,0.087072478,0.086445488,0.086445488,0.086445488,0.086445488,0.087591567,0.087591567,0.087591567,0.087591567,0.086957106,0.084804588,0.084804588,0.085423676,0.103108582,0.102073705,0.101038906,0.099123097,0.106114098,0.106114098,0.106114098,0.106114098,0.115297676,0.115297676,0.113468839,0.113468839,0.130430406,0.127172154,0.127172154,0.127172154,0.072408926,0.072408926,0.072425394,0.072425394,0.046324128,0.046318916,0.046331733,0.046331733,0.031016143,0.030474537,0.030264283,0.030435941,0.030142023,0.029905686,0.029905686,0.029905686,0.030648951,0.030648951,0.030648951
Occupy-Europe-South-America-North-America,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085022444,0.085022444,0.085022444,0.085022444,0.085022444,0.084448046,0.084448046,0.084448046,0.0855815,0.0855815,0.0855815,0.0855815,0.086722198,0.086722198,0.086722198,0.086722198,0.087869974,0.087869974,0.087869974,0.087869974,0.087280723,0.087280723,0.087280723,0.087280723,0.088431887,0.088431887,0.088431887,0.088431887,0.088431887,0.087835101,0.087835101,0.087835101,0.088989579,0.088989579,0.088989579,0.088989579,0.090150795,0.090150795,0.090150795,0.090150795,0.09131857,0.09131857,0.09131857,0.09131857,0.090707353,0.090707353,0.090707353,0.090707353,0.090092039,0.090092039,0.090092039,0.090092039,0.089472714,0.089472714,0.089472714,0.089472714,0.088849466,0.088849466,0.088849466,0.088849466,0.090009876,0.090009876,0.090009876,0.090009876,0.089379148,0.089379148,0.089379148,0.089379148,0.090542589,0.093818596,0.093818596,0.09261342,0.067683981,0.068372093,0.069060154,0.069133364,0.061086982,0.061086982,0.061086982,0.061086982,0.051037822,0.051037822,0.052299317,0.052299317,0.025208113,0.027745785,0.027745785,0.027745785,0.034862267,0.034862267,0.034856248,0.034856248,0.045427385,0.045440449,0.045434843,0.045434843,0.027946729,0.028019103,0.028973125,0.02913746,0.021347664,0.022503676,0.022503676,0.022503676,0.014199622,0.014199622,0.014199622
Occupy-Europe-South-America-Africa,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.080548628,0.080548628,0.080548628,0.080548628,0.0799898,0.0799898,0.0799898,0.0799898,0.079427505,0.079427505,0.079427505,0.079427505,0.078894868,0.078894868,0.078894868,0.078894868,0.078336723,0.078336723,0.078336723,0.078336723,0.078336723,0.077808064,0.077808064,0.077808064,0.077254136,0.077254136,0.077254136,0.077254136,0.076696975,0.076696975,0.076696975,0.076696975,0.076136667,0.076136667,0.076136667,0.076136667,0.075627066,0.075627066,0.075627066,0.075627066,0.075114049,0.075114049,0.075114049,0.075114049,0.074597688,0.074597688,0.074597688,0.074597688,0.074078056,0.074078056,0.074078056,0.074078056,0.073544636,0.073544636,0.073544636,0.073544636,0.073029285,0.073029285,0.073029285,0.073029285,0.072500305,0.073621039,0.073621039,0.074158485,0.058410833,0.059004669,0.059598462,0.059661641,0.051619381,0.051619381,0.051619381,0.051619381,0.042229202,0.042229202,0.043272976,0.043272976,0.020857444,0.022957139,0.022957139,0.022957139,0.038311238,0.038311238,0.038304623,0.038304623,0.047324856,0.047338466,0.047332625,0.047332625,0.025483987,0.025549983,0.026419934,0.025517624,0.018109163,0.019089805,0.019089805,0.019089805,0.011087555,0.011087555,0.011087555
Occupy-Asia-Africa,0.083333333,0.081666668,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.083321997,0.083321997,0.083321997,0.083321997,0.083321997,0.084448046,0.084448046,0.084448046,0.083869872,0.083869872,0.083869872,0.083869872,0.083288002,0.083288002,0.083288002,0.083288002,0.082702521,0.082702521,0.082702521,0.082702521,0.083824409,0.083824409,0.083824409,0.083824409,0.08323139,0.08323139,0.08323139,0.08323139,0.08323139,0.084356834,0.084356834,0.084356834,0.083756285,0.083756285,0.083756285,0.083756285,0.08315223,0.08315223,0.08315223,0.08315223,0.082544763,0.082544763,0.082544763,0.082544763,0.083665581,0.083665581,0.083665581,0.083665581,0.084793912,0.084793912,0.084793912,0.084793912,0.085929598,0.085929598,0.085929598,0.085929598,0.087072478,0.087072478,0.087072478,0.087072478,0.086445488,0.086445488,0.086445488,0.086445488,0.087591567,0.087591567,0.087591567,0.087591567,0.086957106,0.088301317,0.088301317,0.088945932,0.13998713,0.138582112,0.137177199,0.137322618,0.154416966,0.154416966,0.154416966,0.154416966,0.174360528,0.174360528,0.171594843,0.171594843,0.233797927,0.227957475,0.227957475,0.227957475,0.220251783,0.220251783,0.220301877,0.220301877,0.147697422,0.147680802,0.14772167,0.14772167,0.091834512,0.092072336,0.0914371,0.088314284,0.089976816,0.089271328,0.089271328,0.089271328,0.08230677,0.08230677,0.08230677
Occupy-Europe-Australia-South-America,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.080548628,0.080548628,0.080548628,0.080548628,0.0799898,0.0799898,0.0799898,0.0799898,0.079427505,0.079427505,0.079427505,0.079427505,0.078894868,0.078894868,0.078894868,0.078894868,0.078336723,0.078336723,0.078336723,0.078336723,0.078336723,0.077808064,0.077808064,0.077808064,0.077254136,0.077254136,0.077254136,0.077254136,0.076696975,0.076696975,0.076696975,0.076696975,0.076136667,0.076136667,0.076136667,0.076136667,0.075627066,0.075627066,0.075627066,0.075627066,0.075114049,0.075114049,0.075114049,0.075114049,0.074597688,0.074597688,0.074597688,0.074597688,0.074078056,0.074078056,0.074078056,0.074078056,0.073544636,0.073544636,0.073544636,0.073544636,0.073029285,0.073029285,0.073029285,0.073029285,0.072500305,0.070705648,0.070705648,0.071221811,0.05205051,0.052579684,0.053108818,0.053165118,0.046977268,0.046977268,0.046977268,0.046977268,0.040084328,0.040084328,0.041075087,0.041075087,0.020219304,0.022254758,0.022254758,0.022254758,0.027962853,0.027962853,0.027958025,0.027958025,0.037076329,0.037086992,0.037082416,0.037082416,0.031479622,0.030929923,0.031983055,0.032164462,0.023565408,0.024841515,0.024841515,0.024841515,0.015674777,0.015674777,0.015674777
Occupy-Europe-South-America-Australia,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.080548628,0.080548628,0.080548628,0.080548628,0.0799898,0.0799898,0.0799898,0.0799898,0.079427505,0.079427505,0.079427505,0.079427505,0.078894868,0.078894868,0.078894868,0.078894868,0.078336723,0.078336723,0.078336723,0.078336723,0.078336723,0.077808064,0.077808064,0.077808064,0.077254136,0.077254136,0.077254136,0.077254136,0.076696975,0.076696975,0.076696975,0.076696975,0.076136667,0.076136667,0.076136667,0.076136667,0.075627066,0.075627066,0.075627066,0.075627066,0.075114049,0.075114049,0.075114049,0.075114049,0.074597688,0.074597688,0.074597688,0.074597688,0.074078056,0.074078056,0.074078056,0.074078056,0.073544636,0.073544636,0.073544636,0.073544636,0.073029285,0.073029285,0.073029285,0.073029285,0.072500305,0.070705648,0.070705648,0.071221811,0.05205051,0.052579684,0.053108818,0.053165118,0.046977268,0.046977268,0.046977268,0.046977268,0.040084328,0.040084328,0.041075087,0.041075087,0.020219304,0.022254758,0.022254758,0.022254758,0.027962853,0.027962853,0.027958025,0.027958025,0.037076329,0.037086992,0.037082416,0.037082416,0.031479622,0.030929923,0.031983055,0.032164462,0.023565408,0.024841515,0.024841515,0.024841515,0.015674777,0.015674777,0.015674777
Occupy-Europe-Australia-North-America,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085022444,0.085022444,0.085022444,0.085022444,0.085022444,0.084448046,0.084448046,0.084448046,0.0855815,0.0855815,0.0855815,0.0855815,0.086722198,0.086722198,0.086722198,0.086722198,0.087869974,0.087869974,0.087869974,0.087869974,0.087280723,0.087280723,0.087280723,0.087280723,0.088431887,0.088431887,0.088431887,0.088431887,0.088431887,0.087835101,0.087835101,0.087835101,0.088989579,0.088989579,0.088989579,0.088989579,0.090150795,0.090150795,0.090150795,0.090150795,0.09131857,0.09131857,0.09131857,0.09131857,0.090707353,0.090707353,0.090707353,0.090707353,0.090092039,0.090092039,0.090092039,0.090092039,0.089472714,0.089472714,0.089472714,0.089472714,0.088849466,0.088849466,0.088849466,0.088849466,0.090009876,0.090009876,0.090009876,0.090009876,0.089379148,0.089379148,0.089379148,0.089379148,0.090542589,0.088301317,0.088301317,0.087167015,0.059017467,0.05961747,0.06021743,0.060281265,0.053265172,0.053265172,0.053265172,0.053265172,0.044502745,0.044502745,0.045602714,0.045602714,0.020168561,0.022198906,0.022198906,0.022198906,0.01860923,0.01860923,0.018613462,0.018613462,0.014591524,0.01459572,0.014599759,0.014599759,0.006080827,0.005974643,0.006178074,0.006213115,0.004409279,0.004648049,0.004648049,0.004648049,0.002699634,0.002699634,0.002699634
Occupy-North-America-Australia,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.085022444,0.085022444,0.085022444,0.085022444,0.085022444,0.084448046,0.084448046,0.084448046,0.0855815,0.0855815,0.0855815,0.0855815,0.086722198,0.086722198,0.086722198,0.086722198,0.087869974,0.087869974,0.087869974,0.087869974,0.087280723,0.087280723,0.087280723,0.087280723,0.088431887,0.088431887,0.088431887,0.088431887,0.086663251,0.087835101,0.087835101,0.087835101,0.088989579,0.088989579,0.088989579,0.088989579,0.090150795,0.090150795,0.090150795,0.090150795,0.09131857,0.09131857,0.09131857,0.09131857,0.090707353,0.090707353,0.090707353,0.090707353,0.090092039,0.090092039,0.090092039,0.090092039,0.089472714,0.089472714,0.089472714,0.089472714,0.088849466,0.088849466,0.088849466,0.088849466,0.090009876,0.090009876,0.090009876,0.090009876,0.089379148,0.089379148,0.089379148,0.089379148,0.090542589,0.088301317,0.088301317,0.087167015,0.073887199,0.074638377,0.075389499,0.077009609,0.073058944,0.073058944,0.073058944,0.073058944,0.066289363,0.066289363,0.067927829,0.067927829,0.037133321,0.04087149,0.04087149,0.04087149,0.042969716,0.042969716,0.042979489,0.042979489,0.038180811,0.038191791,0.03820236,0.03820236,0.023741972,0.023327388,0.024121662,0.024258479,0.018338337,0.01933139,0.01933139,0.01933139,0.01111274,0.01111274,0.01111274
Occupy-Europe-Australia-Africa,0.083333333,0.081666668,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081655559,0.081655559,0.081655559,0.081655559,0.081655559,0.081103907,0.081103907,0.081103907,0.080548628,0.080548628,0.080548628,0.080548628,0.0799898,0.0799898,0.0799898,0.0799898,0.079427505,0.079427505,0.079427505,0.079427505,0.078894868,0.078894868,0.078894868,0.078894868,0.078336723,0.078336723,0.078336723,0.078336723,0.07676999,0.077808064,0.077808064,0.077808064,0.077254136,0.077254136,0.077254136,0.077254136,0.076696975,0.076696975,0.076696975,0.076696975,0.076136667,0.076136667,0.076136667,0.076136667,0.075627066,0.075627066,0.075627066,0.075627066,0.075114049,0.075114049,0.075114049,0.075114049,0.074597688,0.074597688,0.074597688,0.074597688,0.074078056,0.074078056,0.074078056,0.074078056,0.073544636,0.073544636,0.073544636,0.073544636,0.073029285,0.073029285,0.073029285,0.073029285,0.072500305,0.069291537,0.069291537,0.069797376,0.0510095,0.051528091,0.052046643,0.052101817,0.045078605,0.045078605,0.045078605,0.045078605,0.036878271,0.036878271,0.037789786,0.037789786,0.016713163,0.018395658,0.018395658,0.018395658,0.020095597,0.020095597,0.020100167,0.020100167,0.01475851,0.014762754,0.014766839,0.014766839,0.005352916,0.005259443,0.005438521,0.005252782,0.003608731,0.00380415,0.00380415,0.00380415,0.002030197,0.002030197,0.002030197
Occupy-Asia-South-America,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.083321997,0.083321997,0.083321997,0.083321997,0.083321997,0.084448046,0.084448046,0.084448046,0.083869872,0.083869872,0.083869872,0.083869872,0.083288002,0.083288002,0.083288002,0.083288002,0.082702521,0.082702521,0.082702521,0.082702521,0.083824409,0.083824409,0.083824409,0.083824409,0.08323139,0.08323139,0.08323139,0.08323139,0.08323139,0.084356834,0.084356834,0.084356834,0.083756285,0.083756285,0.083756285,0.083756285,0.08315223,0.08315223,0.08315223,0.08315223,0.082544763,0.082544763,0.082544763,0.082544763,0.083665581,0.083665581,0.083665581,0.083665581,0.084793912,0.084793912,0.084793912,0.084793912,0.085929598,0.085929598,0.085929598,0.085929598,0.087072478,0.087072478,0.087072478,0.087072478,0.086445488,0.086445488,0.086445488,0.086445488,0.087591567,0.087591567,0.087591567,0.087591567,0.086957106,0.090103383,0.090103383,0.090761153,0.142844008,0.141410316,0.139976731,0.140125118,0.16059849,0.16059849,0.16059849,0.16059849,0.188315051,0.188315051,0.185328022,0.185328022,0.276866955,0.269950605,0.269950605,0.269950605,0.3008891,0.3008891,0.30083715,0.30083715,0.371680323,0.371638499,0.371592646,0.371592646,0.550589815,0.552015682,0.548207151,0.551316556,0.593700614,0.589045538,0.589045538,0.589045538,0.63203138,0.63203138,0.63203138
