Aneesh
WINNER
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.0810312723122852, 0.0810312723122852, 0.0810312723122852, 0.08157706140639119, 0.08157706140639119, 0.08157706140639119, 0.0821191153918218, 0.0821191153918218, 0.0821191153918218, 0.08265736300800701, 0.08265736300800701, 0.08265736300800701, 0.08319173553400697, 0.08319173553400697, 0.08319173553400697, 0.08372216680474037, 0.08372216680474037, 0.08372216680474037, 0.08455151915785972, 0.08455151915785972, 0.08455151915785972, 0.08538038224762177, 0.08538038224762177, 0.08538038224762177, 0.086208587535528, 0.086208587535528, 0.086208587535528, 0.08703596701867969, 0.08703596701867969, 0.08703596701867969, 0.08642032292607442, 0.08642032292607442, 0.08642032292607442, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08777785457889105, 0.08777785457889105, 0.08715101073631319, 0.08715101073631319, 0.08715101073631319, 0.08652053624388925, 0.08652053624388925, 0.08652053624388925, 0.08704958535523967, 0.08704958535523967, 0.08704958535523967, 0.05342692919676775, 0.05249031121027317, 0.05249031121027317
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.08964420855642853, 0.08964420855642853, 0.08964420855642853, 0.09024801039717101, 0.09024801039717101, 0.09024801039717101, 0.09084768011889915, 0.09084768011889915, 0.09084768011889915, 0.09144313888664939, 0.09144313888664939, 0.09144313888664939, 0.09203431067502946, 0.09203431067502946, 0.09203431067502946, 0.09262112228617168, 0.09262112228617168, 0.09262112228617168, 0.09166785698179641, 0.09166785698179641, 0.09166785698179641, 0.09071515404127227, 0.09071515404127227, 0.09071515404127227, 0.08976320718431616, 0.08976320718431616, 0.08976320718431616, 0.08881220951502165, 0.08881220951502165, 0.08881220951502165, 0.08998367301345456, 0.08998367301345456, 0.08998367301345456, 0.08902140915181204, 0.08902140915181204, 0.08902140915181204, 0.08902140915181204, 0.08956923762295246, 0.08956923762295246, 0.09074448911278442, 0.09074448911278442, 0.09074448911278442, 0.09192654760358039, 0.09192654760358039, 0.09192654760358039, 0.09248865297683068, 0.09248865297683068, 0.09248865297683068, 0.0770187268100469, 0.077274586519959, 0.077274586519959
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.0810312723122852, 0.0810312723122852, 0.0810312723122852, 0.08157706140639119, 0.08157706140639119, 0.08157706140639119, 0.0821191153918218, 0.0821191153918218, 0.0821191153918218, 0.08265736300800701, 0.08265736300800701, 0.08265736300800701, 0.08319173553400697, 0.08319173553400697, 0.08319173553400697, 0.08372216680474037, 0.08372216680474037, 0.08372216680474037, 0.08286049038739478, 0.08286049038739478, 0.08286049038739478, 0.08199932230247903, 0.08199932230247903, 0.08199932230247903, 0.08113883765729107, 0.08113883765729107, 0.08113883765729107, 0.08027921100265399, 0.08027921100265399, 0.08027921100265399, 0.07971136044953507, 0.07971136044953507, 0.07971136044953507, 0.07885894623977639, 0.07885894623977639, 0.07885894623977639, 0.07885894623977639, 0.07934423597362691, 0.07934423597362691, 0.07877761873283513, 0.07877761873283513, 0.07877761873283513, 0.07820771967182223, 0.07820771967182223, 0.07820771967182223, 0.07868593821263765, 0.07868593821263765, 0.07868593821263765, 0.053322469097608315, 0.05349960876272845, 0.05349960876272845
Occupy-Asia-Africa, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07941064841158835, 0.07941064841158835, 0.07941064841158835, 0.0783466128243777, 0.0783466128243777, 0.0783466128243777, 0.07728985896667692, 0.07728985896667692, 0.07728985896667692, 0.07624052576354567, 0.07624052576354567, 0.07624052576354567, 0.07519874718894279, 0.07519874718894279, 0.07519874718894279, 0.07416465223408815, 0.07416465223408815, 0.07416465223408815, 0.07340134265587578, 0.07340134265587578, 0.07340134265587578, 0.07263848338012593, 0.07263848338012593, 0.07263848338012593, 0.07187622952432243, 0.07187622952432243, 0.07187622952432243, 0.07111473571300003, 0.07111473571300003, 0.07111473571300003, 0.07061170956830864, 0.07061170956830864, 0.07061170956830864, 0.06985660484707527, 0.06985660484707527, 0.06985660484707527, 0.06985660484707527, 0.06888076654891745, 0.06888076654891745, 0.06838887158759294, 0.06838887158759294, 0.06838887158759294, 0.06789412759395078, 0.06789412759395078, 0.06789412759395078, 0.06694309705163569, 0.06694309705163569, 0.06694309705163569, 0.027787977958539004, 0.027300831862823345, 0.027300831862823345
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.0810312723122852, 0.0810312723122852, 0.0810312723122852, 0.08157706140639119, 0.08157706140639119, 0.08157706140639119, 0.0821191153918218, 0.0821191153918218, 0.0821191153918218, 0.08265736300800701, 0.08265736300800701, 0.08265736300800701, 0.08319173553400697, 0.08319173553400697, 0.08319173553400697, 0.08372216680474037, 0.08372216680474037, 0.08372216680474037, 0.08455151915785972, 0.08455151915785972, 0.08455151915785972, 0.08538038224762177, 0.08538038224762177, 0.08538038224762177, 0.086208587535528, 0.086208587535528, 0.086208587535528, 0.08703596701867969, 0.08703596701867969, 0.08703596701867969, 0.08642032292607442, 0.08642032292607442, 0.08642032292607442, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08777785457889105, 0.08777785457889105, 0.08715101073631319, 0.08715101073631319, 0.08715101073631319, 0.08652053624388925, 0.08652053624388925, 0.08652053624388925, 0.08704958535523967, 0.08704958535523967, 0.08704958535523967, 0.1396415292721778, 0.14010542477722007, 0.14010542477722007
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.0810312723122852, 0.0810312723122852, 0.0810312723122852, 0.08157706140639119, 0.08157706140639119, 0.08157706140639119, 0.0821191153918218, 0.0821191153918218, 0.0821191153918218, 0.08265736300800701, 0.08265736300800701, 0.08265736300800701, 0.08319173553400697, 0.08319173553400697, 0.08319173553400697, 0.08372216680474037, 0.08372216680474037, 0.08372216680474037, 0.08455151915785972, 0.08455151915785972, 0.08455151915785972, 0.08538038224762177, 0.08538038224762177, 0.08538038224762177, 0.086208587535528, 0.086208587535528, 0.086208587535528, 0.08703596701867969, 0.08703596701867969, 0.08703596701867969, 0.08642032292607442, 0.08642032292607442, 0.08642032292607442, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08777785457889105, 0.08777785457889105, 0.08715101073631319, 0.08715101073631319, 0.08715101073631319, 0.08652053624388925, 0.08652053624388925, 0.08652053624388925, 0.08704958535523967, 0.08704958535523967, 0.08704958535523967, 0.1396415292721778, 0.14010542477722007, 0.14010542477722007
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.08964420855642853, 0.08964420855642853, 0.08964420855642853, 0.09024801039717101, 0.09024801039717101, 0.09024801039717101, 0.09084768011889915, 0.09084768011889915, 0.09084768011889915, 0.09144313888664939, 0.09144313888664939, 0.09144313888664939, 0.09203431067502946, 0.09203431067502946, 0.09203431067502946, 0.09262112228617168, 0.09262112228617168, 0.09262112228617168, 0.09353862775274356, 0.09353862775274356, 0.09353862775274356, 0.0944555919514174, 0.0944555919514174, 0.0944555919514174, 0.09537182842948325, 0.09537182842948325, 0.09537182842948325, 0.09628715132676072, 0.09628715132676072, 0.09628715132676072, 0.09755721187095096, 0.09755721187095096, 0.09755721187095096, 0.09848362910108606, 0.09848362910108606, 0.09848362910108606, 0.09848362910108606, 0.09908968708732621, 0.09908968708732621, 0.10038985783195829, 0.10038985783195829, 0.10038985783195829, 0.10169755910396147, 0.10169755910396147, 0.10169755910396147, 0.10231941150578656, 0.10231941150578656, 0.10231941150578656, 0.12452723089679121, 0.12494091601589206, 0.12494091601589206
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.0810312723122852, 0.0810312723122852, 0.0810312723122852, 0.08157706140639119, 0.08157706140639119, 0.08157706140639119, 0.0821191153918218, 0.0821191153918218, 0.0821191153918218, 0.08265736300800701, 0.08265736300800701, 0.08265736300800701, 0.08319173553400697, 0.08319173553400697, 0.08319173553400697, 0.08372216680474037, 0.08372216680474037, 0.08372216680474037, 0.08455151915785972, 0.08455151915785972, 0.08455151915785972, 0.08538038224762177, 0.08538038224762177, 0.08538038224762177, 0.086208587535528, 0.086208587535528, 0.086208587535528, 0.08703596701867969, 0.08703596701867969, 0.08703596701867969, 0.08642032292607442, 0.08642032292607442, 0.08642032292607442, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08724098266672445, 0.08777785457889105, 0.08777785457889105, 0.08715101073631319, 0.08715101073631319, 0.08715101073631319, 0.08652053624388925, 0.08652053624388925, 0.08652053624388925, 0.08704958535523967, 0.08704958535523967, 0.08704958535523967, 0.08422959690189229, 0.08450941144988504, 0.08450941144988504
Occupy-North-America-Australia, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.08785132609512754, 0.08785132609512754, 0.08785132609512754, 0.08667419255927768, 0.08667419255927768, 0.08667419255927768, 0.08550511473895847, 0.08550511473895847, 0.08550511473895847, 0.08434424632578386, 0.08434424632578386, 0.08434424632578386, 0.08319173553400697, 0.08319173553400697, 0.08319173553400697, 0.08204772506551916, 0.08204772506551916, 0.08204772506551916, 0.08286049038739476, 0.08286049038739476, 0.08286049038739476, 0.08367277623117089, 0.08367277623117089, 0.08367277623117089, 0.08448441742911576, 0.08448441742911576, 0.08448441742911576, 0.08529524933838543, 0.08529524933838543, 0.08529524933838543, 0.08642032292607443, 0.08642032292607443, 0.08642032292607443, 0.08724098266672446, 0.08724098266672446, 0.08724098266672446, 0.08549616467737967, 0.08602229916154296, 0.08602229916154296, 0.0871510107363132, 0.0871510107363132, 0.0871510107363132, 0.08828625975506377, 0.08828625975506377, 0.08828625975506377, 0.08704958535523968, 0.08704958535523968, 0.08704958535523968, 0.15947024713277516, 0.16000001453949472, 0.16000001453949472
Occupy-Asia-South-America, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07941064841158835, 0.07941064841158835, 0.07941064841158835, 0.0783466128243777, 0.0783466128243777, 0.0783466128243777, 0.07728985896667692, 0.07728985896667692, 0.07728985896667692, 0.07624052576354567, 0.07624052576354567, 0.07624052576354567, 0.07519874718894279, 0.07519874718894279, 0.07519874718894279, 0.07416465223408815, 0.07416465223408815, 0.07416465223408815, 0.07340134265587578, 0.07340134265587578, 0.07340134265587578, 0.07263848338012593, 0.07263848338012593, 0.07263848338012593, 0.07187622952432243, 0.07187622952432243, 0.07187622952432243, 0.07111473571300003, 0.07111473571300003, 0.07111473571300003, 0.07061170956830864, 0.07061170956830864, 0.07061170956830864, 0.06985660484707527, 0.06985660484707527, 0.06985660484707527, 0.06845947408254277, 0.06888076654891745, 0.06888076654891745, 0.06838887158759294, 0.06838887158759294, 0.06838887158759294, 0.06789412759395078, 0.06789412759395078, 0.06789412759395078, 0.06694309705163569, 0.06694309705163569, 0.06694309705163569, 0.04536479204439013, 0.04456950994936505, 0.04456950994936505
