s0914007
LOSER
Conquer the continents of ASIA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.0755592999152268, 0.0755592999152268, 0.0755592999152268, 0.07658712440867384, 0.07658712440867384, 0.07658712440867384, 0.07596319243461418, 0.07596319243461418, 0.07596319243461418, 0.07699049034434588, 0.07699049034434588, 0.07699049034434588, 0.07802456196558688, 0.07802456196558688, 0.07802456196558688, 0.07752565741806604, 0.07841638962159818, 0.07782448716495316, 0.06315784853911899, 0.06315784853911899, 0.061767727490557034, 0.06769735812762984, 0.06769735812762984, 0.06769735812762984, 0.0863053179884849
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.07404811535810153, 0.07404811535810153, 0.07404811535810153, 0.07355427714522599, 0.07355427714522599, 0.07355427714522599, 0.07295505285401399, 0.07295505285401399, 0.07295505285401399, 0.07246283781915179, 0.07246283781915179, 0.07246283781915179, 0.07196737725773382, 0.07196737725773382, 0.07196737725773382, 0.07296653281701047, 0.07088221228674461, 0.07037532937249703, 0.0386799495998687, 0.0386799495998687, 0.038600604982343106, 0.02523450555302743, 0.02523450555302743, 0.02523450555302743, 0.0070273381334041915
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.0925402795693139, 0.0925402795693139, 0.0925402795693139, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.0960997699130453, 0.0960997699130453, 0.0960997699130453, 0.09729769984201866, 0.09729769984201866, 0.09729769984201866, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09970947476237284, 0.09970947476237284, 0.10092289398480317, 0.10092289398480317, 0.10092289398480317, 0.10230495370809022, 0.10230495370809022, 0.10230495370809022, 0.10369659626354157, 0.10369659626354157, 0.10369659626354157, 0.10495082620211063, 0.10495082620211063, 0.10495082620211063, 0.10637014206979017, 0.10637014206979017, 0.10637014206979017, 0.10779881650438314, 0.10779881650438314, 0.10779881650438314, 0.10710952945916882, 0.11055118764855144, 0.11195584003018094, 0.19782703597828355, 0.19782703597828355, 0.19742123114481572, 0.2829192606762649, 0.2829192606762649, 0.2829192606762649, 0.5149376039527268
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.0925402795693139, 0.0925402795693139, 0.0925402795693139, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.0960997699130453, 0.0960997699130453, 0.0960997699130453, 0.09729769984201866, 0.09729769984201866, 0.09729769984201866, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09970947476237284, 0.09970947476237284, 0.10092289398480317, 0.10092289398480317, 0.10092289398480317, 0.10025885658524054, 0.10025885658524054, 0.10025885658524054, 0.09959021492810236, 0.09959021492810236, 0.09959021492810236, 0.10079477740799225, 0.10079477740799225, 0.10079477740799225, 0.1001147326004711, 0.1001147326004711, 0.1001147326004711, 0.09943020377006241, 0.09943020377006241, 0.09943020377006241, 0.09879442729696043, 0.09992952735097699, 0.09921492535974487, 0.10698601654437638, 0.10698601654437638, 0.10676655492017278, 0.08243066819371841, 0.08243066819371841, 0.08243066819371841, 0.02645124580142019
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.07404811535810153, 0.07404811535810153, 0.07404811535810153, 0.07355427714522599, 0.07355427714522599, 0.07355427714522599, 0.07295505285401399, 0.07295505285401399, 0.07295505285401399, 0.07246283781915179, 0.07246283781915179, 0.07246283781915179, 0.07196737725773382, 0.07196737725773382, 0.07196737725773382, 0.07150720355239643, 0.07088221228674463, 0.07037532937249705, 0.042405558081757166, 0.042405558081757166, 0.04231857108146987, 0.028942836467831985, 0.028942836467831985, 0.028942836467831985, 0.009287490910564668
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.07404811535810153, 0.07404811535810153, 0.07404811535810153, 0.07355427714522599, 0.07355427714522599, 0.07355427714522599, 0.07295505285401399, 0.07295505285401399, 0.07295505285401399, 0.07246283781915179, 0.07246283781915179, 0.07246283781915179, 0.07196737725773382, 0.07196737725773382, 0.07196737725773382, 0.07150720355239643, 0.07088221228674463, 0.07037532937249705, 0.042405558081757166, 0.042405558081757166, 0.04231857108146987, 0.028942836467831985, 0.028942836467831985, 0.028942836467831985, 0.009287490910564668
Occupy-North-America-Australia, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.07404811535810153, 0.07404811535810153, 0.07404811535810153, 0.07355427714522599, 0.07355427714522599, 0.07355427714522599, 0.07295505285401399, 0.07295505285401399, 0.07295505285401399, 0.07246283781915179, 0.07246283781915179, 0.07246283781915179, 0.07196737725773382, 0.07196737725773382, 0.07196737725773382, 0.07296653281701047, 0.07088221228674463, 0.07181155918653087, 0.06263954084159024, 0.06263954084159024, 0.06378678206865038, 0.056334300441824955, 0.056334300441824955, 0.056334300441824955, 0.034026203587911884
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.07404811535810153, 0.07404811535810153, 0.07404811535810153, 0.07355427714522599, 0.07355427714522599, 0.07355427714522599, 0.07295505285401399, 0.07295505285401399, 0.07295505285401399, 0.07246283781915179, 0.07246283781915179, 0.07246283781915179, 0.07196737725773382, 0.07196737725773382, 0.07196737725773382, 0.07296653281701047, 0.07088221228674463, 0.07037532937249705, 0.04767839819072946, 0.04767839819072946, 0.047580594953966986, 0.03553573770825248, 0.03553573770825248, 0.03553573770825248, 0.013995328615190592
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.0925402795693139, 0.0925402795693139, 0.0925402795693139, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.0960997699130453, 0.0960997699130453, 0.0960997699130453, 0.09729769984201866, 0.09729769984201866, 0.09729769984201866, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09970947476237284, 0.09970947476237284, 0.10092289398480317, 0.10092289398480317, 0.10092289398480317, 0.10025885658524054, 0.10025885658524054, 0.10025885658524054, 0.09959021492810236, 0.09959021492810236, 0.09959021492810236, 0.10079477740799225, 0.10079477740799225, 0.10079477740799225, 0.1001147326004711, 0.1001147326004711, 0.1001147326004711, 0.09943020377006241, 0.09943020377006241, 0.09943020377006241, 0.09879442729696043, 0.099929527350977, 0.09921492535974488, 0.12727071648084767, 0.12727071648084767, 0.12700964462253753, 0.11177797481645195, 0.11177797481645195, 0.11177797481645195, 0.0502528189071655
Occupy-Asia-South-America, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.0755592999152268, 0.0755592999152268, 0.0755592999152268, 0.07658712440867384, 0.07658712440867384, 0.07658712440867384, 0.07596319243461418, 0.07596319243461418, 0.07596319243461418, 0.07699049034434588, 0.07699049034434588, 0.07699049034434588, 0.07802456196558688, 0.07802456196558688, 0.07802456196558688, 0.07752565741806604, 0.07841638962159816, 0.07941274045946463, 0.06847357309278737, 0.06847357309278737, 0.06833311247885533, 0.07775389419431865, 0.07775389419431865, 0.07775389419431865, 0.10861480872332299
