punit
WINNER
Conquer the continents of NORTH AMERICA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.0782051998196888, 0.0782051998196888, 0.0782051998196888, 0.07767699164842663, 0.07767699164842663, 0.07767699164842663, 0.07714530846883527, 0.07714530846883527, 0.07714530846883527, 0.07661022543614408, 0.07661022543614408, 0.07661022543614408, 0.07607182006603672, 0.07607182006603672, 0.07607182006603672, 0.07553017220390723, 0.07553017220390723, 0.07553017220390723, 0.0749853639908627, 0.0749853639908627, 0.0749853639908627, 0.07443747982647245, 0.07443747982647245, 0.07443747982647245, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.07333283228804152, 0.07333283228804152, 0.07277624862486763, 0.07277624862486763, 0.07277624862486763, 0.07221694833504382, 0.07221694833504382, 0.07221694833504382, 0.07221694833504382, 0.07165502643882324, 0.07012265900188976, 0.017884431537923053, 0.017095404544975084, 0.016827107392769724
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.07980122275265437, 0.07980122275265437, 0.07980122275265437, 0.07980122275265437, 0.08087982988839272, 0.08087982988839272, 0.08196553303094156, 0.08196553303094156, 0.08196553303094156, 0.08305817871246168, 0.08305817871246168, 0.08305817871246168, 0.08415760864503927, 0.08415760864503927, 0.08415760864503927, 0.08526365978346499, 0.08526365978346499, 0.08526365978346499, 0.08637616439465752, 0.08637616439465752, 0.08637616439465752, 0.08749495013372945, 0.08749495013372945, 0.08749495013372945, 0.0886198401266798, 0.0886198401266798, 0.0886198401266798, 0.0886198401266798, 0.08975065305968075, 0.08975065305968075, 0.09088720327491168, 0.09088720327491168, 0.09088720327491168, 0.09202930087287764, 0.09202930087287764, 0.09202930087287764, 0.09202930087287764, 0.09317675182113336, 0.09304503376995185, 0.17261049324338293, 0.17530454786863478, 0.17600436177540585
Occupy-Asia-Africa, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09136587700199511, 0.09136587700199511, 0.09254027956931392, 0.09254027956931392, 0.09254027956931392, 0.09192358573091527, 0.09192358573091527, 0.09192358573091527, 0.09008511576960022, 0.0913027217829075, 0.0913027217829075, 0.09067777325706093, 0.09067777325706093, 0.09067777325706093, 0.09004882849197943, 0.09004882849197943, 0.09004882849197943, 0.08941597860078089, 0.08941597860078089, 0.08941597860078089, 0.08877931743496041, 0.08877931743496041, 0.08877931743496041, 0.08813894154442917, 0.08813894154442917, 0.08813894154442917, 0.0874949501337294, 0.0874949501337294, 0.0874949501337294, 0.08684744501443548, 0.08684744501443548, 0.08684744501443548, 0.08684744501443548, 0.08619653055375878, 0.08619653055375878, 0.08554231361938415, 0.08554231361938415, 0.08554231361938415, 0.0848849035205738, 0.0848849035205738, 0.0848849035205738, 0.08318720706921337, 0.08422441194558383, 0.08413900478594188, 0.031450930779246974, 0.03067691341002021, 0.03019546656945521
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09136587700199511, 0.09136587700199511, 0.09254027956931392, 0.09254027956931392, 0.09254027956931392, 0.09192358573091527, 0.09192358573091527, 0.09192358573091527, 0.09008511576960022, 0.0913027217829075, 0.0913027217829075, 0.09067777325706093, 0.09067777325706093, 0.09067777325706093, 0.09004882849197943, 0.09004882849197943, 0.09004882849197943, 0.08941597860078089, 0.08941597860078089, 0.08941597860078089, 0.08877931743496041, 0.08877931743496041, 0.08877931743496041, 0.08813894154442917, 0.08813894154442917, 0.08813894154442917, 0.0874949501337294, 0.0874949501337294, 0.0874949501337294, 0.08684744501443548, 0.08684744501443548, 0.08684744501443548, 0.08684744501443548, 0.08619653055375878, 0.08619653055375878, 0.08554231361938415, 0.08554231361938415, 0.08554231361938415, 0.0848849035205738, 0.0848849035205738, 0.0848849035205738, 0.08318720706921337, 0.08422441194558383, 0.08410534924822045, 0.03005661552310184, 0.029915216452469667, 0.02944572376742153
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.0782051998196888, 0.0782051998196888, 0.0782051998196888, 0.07767699164842663, 0.07767699164842663, 0.07767699164842663, 0.07714530846883527, 0.07714530846883527, 0.07714530846883527, 0.07661022543614408, 0.07661022543614408, 0.07661022543614408, 0.07607182006603672, 0.07607182006603672, 0.07607182006603672, 0.07553017220390723, 0.07553017220390723, 0.07553017220390723, 0.0749853639908627, 0.0749853639908627, 0.0749853639908627, 0.07443747982647245, 0.07443747982647245, 0.07443747982647245, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.07333283228804152, 0.07333283228804152, 0.07277624862486763, 0.07277624862486763, 0.07277624862486763, 0.07221694833504382, 0.07221694833504382, 0.07221694833504382, 0.07221694833504382, 0.07165502643882324, 0.07155373228276594, 0.02557106105247595, 0.024941749139798484, 0.024550310595736927
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.0782051998196888, 0.0782051998196888, 0.0782051998196888, 0.07664109731494084, 0.07767699164842663, 0.07767699164842663, 0.07714530846883527, 0.07714530846883527, 0.07714530846883527, 0.07661022543614408, 0.07661022543614408, 0.07661022543614408, 0.07607182006603672, 0.07607182006603672, 0.07607182006603672, 0.07553017220390723, 0.07553017220390723, 0.07553017220390723, 0.0749853639908627, 0.0749853639908627, 0.0749853639908627, 0.07443747982647245, 0.07443747982647245, 0.07443747982647245, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.07333283228804152, 0.07333283228804152, 0.07277624862486763, 0.07277624862486763, 0.07277624862486763, 0.07221694833504382, 0.07221694833504382, 0.07221694833504382, 0.07077261074577192, 0.07165502643882324, 0.07155373228276594, 0.02557106105247595, 0.024941749139798484, 0.024550310595736927
Occupy-Europe-Australia-Africa, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09019784096334643, 0.09136587700199511, 0.09136587700199511, 0.09254027956931392, 0.09254027956931392, 0.09254027956931392, 0.09192358573091527, 0.09192358573091527, 0.09192358573091527, 0.0913027217829075, 0.0913027217829075, 0.0913027217829075, 0.09067777325706093, 0.09067777325706093, 0.09067777325706093, 0.09004882849197943, 0.09004882849197943, 0.09004882849197943, 0.08941597860078089, 0.08941597860078089, 0.08941597860078089, 0.08877931743496041, 0.08877931743496041, 0.08877931743496041, 0.08813894154442917, 0.08813894154442917, 0.08813894154442917, 0.0874949501337294, 0.0874949501337294, 0.0874949501337294, 0.08684744501443548, 0.08684744501443548, 0.08684744501443548, 0.08684744501443548, 0.08619653055375878, 0.08619653055375878, 0.08554231361938415, 0.08554231361938415, 0.08554231361938415, 0.0848849035205738, 0.0848849035205738, 0.0848849035205738, 0.0848849035205738, 0.08422441194558383, 0.08410534924822045, 0.026507823266574054, 0.02585545733906833, 0.025449678958405313
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.07980122275265437, 0.07980122275265437, 0.07980122275265437, 0.07980122275265437, 0.08087982988839272, 0.08087982988839272, 0.08196553303094156, 0.08196553303094156, 0.08196553303094156, 0.08305817871246168, 0.08305817871246168, 0.08305817871246168, 0.08415760864503927, 0.08415760864503927, 0.08415760864503927, 0.08526365978346499, 0.08526365978346499, 0.08526365978346499, 0.08637616439465752, 0.08637616439465752, 0.08637616439465752, 0.08749495013372945, 0.08749495013372945, 0.08749495013372945, 0.0886198401266798, 0.0886198401266798, 0.0886198401266798, 0.0886198401266798, 0.08975065305968075, 0.08975065305968075, 0.09088720327491168, 0.09088720327491168, 0.09088720327491168, 0.09202930087287764, 0.09202930087287764, 0.09202930087287764, 0.09202930087287764, 0.09317675182113336, 0.09304503376995185, 0.15667299470550086, 0.1559359384714917, 0.156558433093762
Occupy-North-America-Australia, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.07980122275265437, 0.07980122275265437, 0.07980122275265437, 0.07980122275265437, 0.08087982988839272, 0.08087982988839272, 0.08196553303094156, 0.08196553303094156, 0.08196553303094156, 0.08305817871246168, 0.08305817871246168, 0.08305817871246168, 0.08415760864503927, 0.08415760864503927, 0.08415760864503927, 0.08526365978346499, 0.08526365978346499, 0.08526365978346499, 0.08637616439465752, 0.08637616439465752, 0.08637616439465752, 0.08749495013372945, 0.08749495013372945, 0.08749495013372945, 0.0886198401266798, 0.0886198401266798, 0.0886198401266798, 0.0886198401266798, 0.08975065305968075, 0.08975065305968075, 0.09088720327491168, 0.09088720327491168, 0.09088720327491168, 0.09202930087287764, 0.09202930087287764, 0.09202930087287764, 0.09202930087287764, 0.09317675182113336, 0.09498190285096116, 0.21286677167214044, 0.21186535607164553, 0.21271112033928474
Occupy-Asia-South-America, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07990107951832677, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.0782051998196888, 0.0782051998196888, 0.0782051998196888, 0.07664109731494084, 0.07767699164842663, 0.07767699164842663, 0.07714530846883527, 0.07714530846883527, 0.07714530846883527, 0.07661022543614408, 0.07661022543614408, 0.07661022543614408, 0.07607182006603672, 0.07607182006603672, 0.07607182006603672, 0.07553017220390723, 0.07553017220390723, 0.07553017220390723, 0.0749853639908627, 0.0749853639908627, 0.0749853639908627, 0.07443747982647245, 0.07443747982647245, 0.07443747982647245, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.0738866063282727, 0.07333283228804152, 0.07333283228804152, 0.07277624862486763, 0.07277624862486763, 0.07277624862486763, 0.07221694833504382, 0.07221694833504382, 0.07221694833504382, 0.07077261074577192, 0.07165502643882324, 0.07158236517422263, 0.03022790685439387, 0.02948398849137651, 0.029021263545202774
